,conversation,speaker,backchannel_given,backchannel_recieved
0,3a51d3fd-a343-4177-b48e-a694a14c5891,5c8be0dd542fbd0016924f5f,212,76
1,3a51d3fd-a343-4177-b48e-a694a14c5891,5f2f6bd965964e35e20c7445,76,212
0,0c6b3a4a-7832-44ea-8830-ff727f2b803c,55a43cf3fdf99b02ff6cb0b4,67,133
1,0c6b3a4a-7832-44ea-8830-ff727f2b803c,5f220462c16ecb68c97ccad9,133,67
0,7e6aa47d-10b5-4603-aee5-c2c1f2c8aa25,558a327cfdf99b2d75651681,84,116
1,7e6aa47d-10b5-4603-aee5-c2c1f2c8aa25,5687d85e369319000c269c55,116,84
0,30d35ce8-1e0f-4c09-ac7d-5ff9737c8ac2,5c43c90d5aca820001f73f6f,81,194
1,30d35ce8-1e0f-4c09-ac7d-5ff9737c8ac2,5e4a1730c94447480594cea4,194,81
0,67836c1d-1334-41a0-a33a-4f788e8b6fb3,5cc604bd3bbb120018a3c0e2,53,61
1,67836c1d-1334-41a0-a33a-4f788e8b6fb3,5e0acbffdc79bd35336ed6e0,61,53
0,19ebf7f7-5bbf-4a8c-a94f-1b7d2decddbf,5987c9f26ab9880001b5b04d,75,97
1,19ebf7f7-5bbf-4a8c-a94f-1b7d2decddbf,5f1f2cf5a441a30fa1b79b2d,97,75
0,ee46e110-4a40-4fcd-ac56-467c1f8f1c97,5b5e7e643bac1d0001f9bf28,59,71
1,ee46e110-4a40-4fcd-ac56-467c1f8f1c97,5f5452df72345118f58d187b,71,59
0,1a19835c-4dd1-4d29-b945-e0b25285a26a,5ed1e0f7ba6548028fc64722,130,53
1,1a19835c-4dd1-4d29-b945-e0b25285a26a,5f641cfa0c8b8b19b424aa4d,53,130
0,17e0d586-466b-4911-903d-eae6de438b55,5a73899f9cdd1800017786f0,46,171
1,17e0d586-466b-4911-903d-eae6de438b55,5edcadb5e81cb9000c4b07e0,171,46
0,69fef050-eda2-4dbd-957a-80a8ae7112f4,5ec5b367ec26b761ec0fc87d,92,39
1,69fef050-eda2-4dbd-957a-80a8ae7112f4,5f6b75742bd7e60776191cb4,39,92
0,deb20645-0818-4d86-ae9b-267463c14a9b,5eaf77532b6845665ddefd09,160,165
1,deb20645-0818-4d86-ae9b-267463c14a9b,5eaf89868dc798686228174b,165,160
0,2f9de920-25a3-4bb4-b7a8-eb83e5d0cfe2,5dd28beafce6062a4f5221b3,222,53
1,2f9de920-25a3-4bb4-b7a8-eb83e5d0cfe2,5f9b44bb3e13ec35fc8894d0,53,222
0,968d0076-2a23-4791-8136-9e65bd76c6b8,5e57613a151c201197693dd3,236,47
1,968d0076-2a23-4791-8136-9e65bd76c6b8,5ec44240144f4f30a24e7aeb,47,236
0,536675d6-80db-4db0-adb7-dfd3c5b6759b,5de7b588ff15c2a06658dd1d,97,227
1,536675d6-80db-4db0-adb7-dfd3c5b6759b,5ec81134ac7d6b2b9ac51453,227,97
0,a003874c-1d39-4924-857f-94a865951ae9,5aaf4b0ce1546900019b01de,97,93
1,a003874c-1d39-4924-857f-94a865951ae9,5fa6006c1355231e6094a472,93,97
0,30394916-22b4-46ba-b8b4-61ad3662e837,5efd4df059990518c92eca95,121,140
1,30394916-22b4-46ba-b8b4-61ad3662e837,5f053720c017078437e04818,140,121
0,a66d648b-650a-42e9-b8f2-26ef0ab4a98e,5a7b2b52000dab00018c402b,106,53
1,a66d648b-650a-42e9-b8f2-26ef0ab4a98e,5a91877e777df200015fa0f5,53,106
0,5fcf9d0c-2f1d-44e5-bfc2-585ba1951f71,5bd086bbc3b40e0001df9551,86,87
1,5fcf9d0c-2f1d-44e5-bfc2-585ba1951f71,5f4c5105ad5ee685d48bcca2,87,86
0,e2625bba-6a92-41db-80d9-699b9d7329d1,5b97f8988ae8150001c7a887,105,92
1,e2625bba-6a92-41db-80d9-699b9d7329d1,5f71eef2e138fe08fba1d131,92,105
0,56ee9fdd-486c-4709-82f7-485322ed4a05,5e53036cd91a8232a99e60fb,91,163
1,56ee9fdd-486c-4709-82f7-485322ed4a05,5e8727fb90c37002d97ca052,163,91
0,a7f88eac-652d-4b0e-b86b-4e0666542e3e,5ec00f62cf12be40ea6fe344,105,194
1,a7f88eac-652d-4b0e-b86b-4e0666542e3e,5f4da0c092c4bb080b6c0ebb,194,105
0,bf7ad7be-febc-4b11-b25e-4c27e8b8a89d,5c7c73b6f48c6d0001f6f49c,258,56
1,bf7ad7be-febc-4b11-b25e-4c27e8b8a89d,5eee306006ab9629fb76858c,56,258
0,3f0b4178-05d8-414b-9b4e-1164daa6ca25,5d8b7c00f6c3640019267f3b,73,218
1,3f0b4178-05d8-414b-9b4e-1164daa6ca25,5eaf5e17fc65f76590f73519,218,73
0,ce6c73db-32fd-4cd9-8015-bf09cc3c47a6,5a73899f9cdd1800017786f0,67,107
1,ce6c73db-32fd-4cd9-8015-bf09cc3c47a6,5dd0103cb2204f108c201552,107,67
0,98f5655b-9980-408a-b880-19e87cef1de8,5e4a1730c94447480594cea4,65,220
1,98f5655b-9980-408a-b880-19e87cef1de8,5f035993cc8d3253768d9804,220,65
0,afa4d802-a9ed-4b0b-a607-b5f16d899275,5ec5d393295d6e655f9842e4,250,121
1,afa4d802-a9ed-4b0b-a607-b5f16d899275,5f053720c017078437e04818,121,250
0,542a6af4-84f3-4681-80ce-fce29162efc1,5e3309ad239ceb2d47d47c4a,142,129
1,542a6af4-84f3-4681-80ce-fce29162efc1,5effc7a64495250cbb0d8de8,129,142
0,d2f289b1-7243-40ad-a0a8-0696db65fc77,5e6cade3d92ffb26677dbd84,107,144
1,d2f289b1-7243-40ad-a0a8-0696db65fc77,5f0fa78daeef1d18edccd806,144,107
0,2699024b-93f4-48b8-ac08-3012274a47fa,5e6a418620befe00096983d2,48,214
1,2699024b-93f4-48b8-ac08-3012274a47fa,5f113ec4c304894ad573296c,214,48
0,d9f18045-50ab-4584-9094-49bbedff4b72,5be05da9b5be300001e54be5,301,91
1,d9f18045-50ab-4584-9094-49bbedff4b72,5de980f63d36b20b9068cfed,91,301
0,660c942e-6681-4f6f-9d9d-0aff9f2e5561,5ede3d2ef7c9f9068776c4d2,131,117
1,660c942e-6681-4f6f-9d9d-0aff9f2e5561,5f39c08c4b0c7456a60d4932,117,131
0,f7fd5d51-95a8-4a62-a354-0d9f13e8bafe,5ed9df4296035b58dce21946,93,240
1,f7fd5d51-95a8-4a62-a354-0d9f13e8bafe,5f67f123a9151c4484c6e1f4,240,93
0,5c6f6632-c722-4041-9d36-5ada31c42471,5b7ca6161e35f0000172fa14,94,111
1,5c6f6632-c722-4041-9d36-5ada31c42471,5e7f9714e74e0c66d2a04098,111,94
0,49f63fed-0f01-4c63-83a9-664b40da4ea8,5ef831c97dcd65573bbb0649,159,139
1,49f63fed-0f01-4c63-83a9-664b40da4ea8,5f557591aa1c4e950ba02f01,139,159
0,408ffd36-dc4a-4521-9349-7060ab14a6a7,5dcb55b60133ef83a90f85ac,69,116
1,408ffd36-dc4a-4521-9349-7060ab14a6a7,5f5c2d8dc6768e436b290d73,116,69
0,4e458f60-1fa1-4584-aca1-5932319e5ba9,5a198755f2e3460001edc5c9,130,37
1,4e458f60-1fa1-4584-aca1-5932319e5ba9,5f070947ea1cc729b610c462,37,130
0,56daf4e7-7a32-4131-af25-b5c71e61b6ce,5acba4a15cd10500016280ca,115,76
1,56daf4e7-7a32-4131-af25-b5c71e61b6ce,5ca6bbf13b5fcf00100996e9,76,115
0,835e4c5f-883b-42f9-8e7b-d121d5d8997a,5c43c90d5aca820001f73f6f,57,147
1,835e4c5f-883b-42f9-8e7b-d121d5d8997a,5ef6743fa4d98d36b3d86694,147,57
0,97087c78-d2a1-4959-b72a-80f858a0afac,5d1554e28ecfae0017a026eb,46,156
1,97087c78-d2a1-4959-b72a-80f858a0afac,5ed9df4296035b58dce21946,156,46
0,8fb541d2-030b-46ad-9b94-77b6989cd555,5b66ce776f0d0400010d678d,159,199
1,8fb541d2-030b-46ad-9b94-77b6989cd555,5dd33bd8f01cbe3350807cf6,199,159
0,d074c4c0-0c24-4ac0-af5f-4ccdb2ab8f5f,5d84e353a954540015f51437,97,102
1,d074c4c0-0c24-4ac0-af5f-4ccdb2ab8f5f,5eacd70006f95f33990e3df9,102,97
0,7c9458fd-c9f2-4b05-956c-33cd6c506d72,5c82a8cdfff8430015e9942f,382,49
1,7c9458fd-c9f2-4b05-956c-33cd6c506d72,5e790129bd76c94a7b3aa7b6,49,382
0,05e45b17-5feb-4a07-9562-cdba59cd8f00,5c3630c83ce2c8000111b504,139,178
1,05e45b17-5feb-4a07-9562-cdba59cd8f00,5ee69bf1ebbfd2420a065289,178,139
0,35c172b6-0833-4c9e-ba7d-76e328bd943f,5aea85ab831584000180a1f6,226,84
1,35c172b6-0833-4c9e-ba7d-76e328bd943f,5ee2b44f470fa7446a470c8d,84,226
0,bb7bd0c5-2af0-444f-bec0-ef5683a94669,58f0fca0d40252000192f201,19,305
1,bb7bd0c5-2af0-444f-bec0-ef5683a94669,5ea4a34e4085724768be21a7,305,19
0,2ef0bddb-04a7-4d0e-8aba-fa7c313e5295,57af9cdda169b50001a434e3,47,113
1,2ef0bddb-04a7-4d0e-8aba-fa7c313e5295,5ea714d0ba872d0cc55cdd79,113,47
0,a90c2314-ab8b-4ce9-8af5-ad40ed4f5613,5eb35e715308a1157ae3b853,27,66
1,a90c2314-ab8b-4ce9-8af5-ad40ed4f5613,5f289ddbb09b371e42173fe3,66,27
