turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ef1086d5234d40c8a15754a,1.44,799.06,"Yeah. Okay. Yeah. What? Okay. Okay. Yeah. Can Oh mm hmm. What you think? Uh huh. Yeah. Yeah. Okay. I was gonna say let's just stick to it still. It got there and yourselves like down here. But it's just my dog this town which honestly the appreciation. It's like I'm scratching my head there, but it's just because I do not know how does it does it, it's never came up there. It's not about it. I got it anyway, just you know. Uh But I think people like I just got better. What about stuff like that? Actually was the first time. So I really wanna call the fair. But that's how you have a good life like that. But it was not like that. Yeah, looks like right. Uh huh. Oh, I actually say I've got the name from people like I said can be possible just do it right. three or 3 Central crisis. This is a beautiful place dreams many times. It's a controlled, you know, everyone always like absolutely. Uh, and also many things I just wanted to see uh, the car rather like however ballet was something I had an interesting situation transforms. Never before if I had an interesting ballot factory beautiful has a kid, I would cry child abuse and this was 12 make football. So that has to do with like that. Like a, I've always, I've got troubles. Were convicted, convince Elizabeth family. Well, I just want to know the answer to his life. One question. But I think you so figure myself. I have a wonderful family life. Can they continue through the stresses to cook When I was a teenager playing any teenage boy that had called, I would stop for a while Now I have a very unhealthy Do you think of the bell family is going wonderfully well, we'll help you have a contrary themselves together. On the contrary, I think, you know, as well that I did in Brooklyn, but I'm like, this is just yet Okay. Exactly. But it was like a touch of love strong cheese. I mean really loves grilled cheese market mystery out there. I want to go in and look at this family, but which ones? They are just don't expect that Elizabeth and louis. That's not that I wouldn't trust him. I've got to say, I think, I think, oh yeah, that's good. I want to find out what I want my funeral because that is the sound of my life, but the rest of my life, Oh my God, he is there always a genie. Uh oh, you have the universe. How writing three wishes right? You know, just look at these wishes. That's wish for. Also the aspect ratio. This is a little bit. So I'm just going to say that. but it means that I can use that for months between the screen before I have to do that. So that gives you well I would like to be rich hop that's it. Oh you know what I was doing this thing and it's not going up on a quest. Oh my God, get that morning hand which is about £10,000. Uh give me beauty which is grand master your question but I haven't changed. I mean maybe it was just too beautiful there in this training as hard. A very, very, very crucial like blessing. Oh jesus christ okay, this whole between the screens and my mouth was important but I just can't because the ratio so I will have two seconds to you guys claiming since you've given me so we have to be about that. Absolutely. So I want to buy, okay, not really feeling the peace of mind. I want to live the life. I had dreams is many a little terror because I absolutely had to travel on the walls and more street dance competition and I'm just like, you know that I am, I don't, I don't get, is that can kind of modeled after kelly highland. That's purely just that one. I can see where we live, where we live. What is the most, the formal association house, uh, that we can afford? I should have the balls, uh, contrary households. I mean, this one's kind of big one because I do that one and then just kick them out on a system over the cost of service. How about me about more than kelly? I'm gonna come over here absolutely terrible block. But it's not the outfit that I am embarrassed. I'm embarrassed. Although I was always in a football when I was a little kind of, all of them. So partisans on that one. I actually want to try and get good at this or oh my God, the notifications in this game. Absolutely sick. Everybody just do want for a second. Why do you want the bike? But you know what do not reaction? Rain clouds, absolute because of this. We have already left side of the car. One man's joke are from mechanically minded, ready for. Um, are you ready for the model? Oh yes, I am. Thank you very much. Looks the most time with a kind of kind of kind of everybody's doing absolutely off of the korean. I'm going to work up a hell of a radio. Excuse me. But they didn't get famous by doing that. You go give, it was just like project, but it's just chilling and keep me company while I built this car since two. It's so cute, so cute, So beautiful. What is going on? Oh my God. Oh my God, how about we don't have to tell us the bodies improved. Where you go. Oh my God, you comment on the battle. It works on the body. I want to see some improvement. She's just, I'm in a family, You know what? I'm outside? I believe I can. Oh, look like I don't have the eyebrows. I don't like that crisis europe quickly. You can go to bed. I screwed myself because I went bed really early and I'm gonna be full of energy. Well, thankfully little jesse because you have not actually, let's just focus on the pajamas. I absolutely love that. You owe it to my attention. That is not doing well lately. I don't Oh my God, that practice is cool. But it was a ballet is fun. Oh my God, that's why I would, I would never hit a child. I just might just honestly, like I knew this because I know myself anyway. So I could have told you before that I would be disappointed at this, but I'm shocked at how disappointed I think so for your little treatable. So that is, I think she's playing with fire. I should have a democrat. I just put myself to do it. You know, actually while she's doing all this, I want to have a highly right this new bad between that one, the influence how people in free time. It's a lifetime aspiration to see how we do it. Like that is kind of that kind of, oh my God, a little secret. Not right. You know what? I'm gonna get somebody else to us on the car because we have better things to do this and I would never do anything. Uh I want to do. Oh wow, this is what I feel like. I mean, I think he's quite fast in it. I'm thinking that we might get, I just wanted to see, you know, it's looking likely. I had helpless kelly. Okay. Yes. This device, could this be it 5 to 4? Oh my good God. And you don't care about the back and I can't even be happy about success because I'm miss marketing. Oh, that's pretty, I'll just have to put it behind because we got no space. I'm sorry. Uh the ball is going to stop me shoving. It's all about what we can make. Tea set. Oh my God, so british. Absolutely. I'm back in the studio. Just can't get enough than ever. You need to make the family rich. Currently I finished just yet. No, actually we're not going to get famous, but I do with the way this is so much for more. Like, let's be honest, let's be serious. All Muslims are just at home right now and listen. So I'm not sure how about music, which I'm gonna have to turn down because it's too much. Hang on, hang on, let's take a break before before everybody is just so you know, nothing about that. There's so much stuff up in the background, like actual fun stuff instead of just your life just making a living and breathing and works like work sleep. Yeah, I'm enjoying it. A lot of folks hobbies had so much depth to the game. Also, I've got to send some car. I've got bless it must go do it. Yeah, mom, I'm never full body now is this fucking job? I mean, I've taken the role of kelly right now. That's just a fact. Having said he's living a way of making tea sets and please while she's been at school, she comes off from school, just one little dance routine and she gets to get in by trying to club himself. But I'm going to have to go now, I'm gonna after I drop into a teenager because we can't go anywhere without our mom and I just have the secret access in the club. So, happy birthday to you! Happy birthday to those old folks. I can't current something so intense. Anyway, right, I was a teenager, Absolutely big fat leaving mama behind. There we go down the studio, remember because I need to change that. But yes, I mean that one's kind of pink, We're just gonna have to go to that once. It's of course is what it looks kind of cute. You know, everything always comes back into fashion. Does not just ladies. There we go. Alright, get on that pole. It's my dream. It's like, honestly, there's adult, all of the classes in middle spread. I would get that classic, you can say channel honestly my dream, whatever it was a little dance for the kitchen, I'm working on my parallax start kind of statutes, you know, it feels sure Mom, Mom, Yeah, I was told you, why are you here for a drink? And I love something about face like uh sort of friends. God,",,0,,,,,797.6199999999999,17,False,False,1871
1,5e67f0321e4f0a0a657c1d08,798.84,799.26,Hello.,,0,,,,-0.2199999999999136,0.4199999999999591,0,False,True,1
2,5ef1086d5234d40c8a15754a,799.54,800.62,"hello,",,0,,,,0.2799999999999727,1.080000000000041,0,False,False,1
3,5e67f0321e4f0a0a657c1d08,801.24,802.35,Hi,,0,,,,0.6200000000000045,1.1100000000000136,0,False,False,1
4,5ef1086d5234d40c8a15754a,801.66,803.64,"hanging down. Yeah,",,0,,,,-0.6900000000000546,1.9800000000000182,0,False,True,3
5,5e67f0321e4f0a0a657c1d08,803.54,805.06,you heard me? You see me?,"yeah,",1,5ef1086d5234d40c8a15754a,804.14,806.22,-0.10000000000002274,1.5199999999999818,2,True,True,6
6,5ef1086d5234d40c8a15754a,806.22,807.05,I can hear you and,,0,,,,1.1600000000000819,0.8299999999999272,0,False,False,5
7,5e67f0321e4f0a0a657c1d08,806.94,807.66,Excellent.,,0,,,,-0.10999999999989996,0.7199999999999136,0,False,True,1
8,5ef1086d5234d40c8a15754a,807.05,811.25,see. And I good. Okay.,,0,,,,-0.6100000000000136,4.2000000000000455,0,False,True,5
9,5e67f0321e4f0a0a657c1d08,808.64,812.28,Yes you are. So hi,,0,,,,-2.6100000000000136,3.6399999999999864,0,False,True,5
10,5ef1086d5234d40c8a15754a,811.64,814.6,"Hi,",,0,,,,-0.6399999999999864,2.9600000000000364,0,False,True,1
11,5e67f0321e4f0a0a657c1d08,812.28,816.95,my name is coarse and uh what's your name?,uh,1,5ef1086d5234d40c8a15754a,815.48,817.37,-2.32000000000005,4.670000000000073,1,True,True,10
12,5ef1086d5234d40c8a15754a,817.38,820.84,Jessica. Where are you at?,,0,,,,0.42999999999995,3.4600000000000364,1,True,False,5
13,5e67f0321e4f0a0a657c1d08,818.84,821.26,Yes. Ah In michigan?,,0,,,,-2.0,2.419999999999959,1,True,True,4
14,5ef1086d5234d40c8a15754a,820.85,825.65,I'm in Arizona.,,0,,,,-0.40999999999996817,4.7999999999999545,0,False,True,4
15,5e67f0321e4f0a0a657c1d08,823.64,829.55,Oh is there anyone out there right now? Yeah.,"Yeah,",1,5ef1086d5234d40c8a15754a,826.44,829.46,-2.009999999999991,5.909999999999968,1,False,True,9
16,5ef1086d5234d40c8a15754a,829.84,834.06,it's like ridiculous.,,0,,,,0.2900000000000773,4.219999999999914,0,False,False,4
17,5e67f0321e4f0a0a657c1d08,834.04,848.45,"Well even being in michigan people always think that being in michigan the weather is going to be slightly colder. It's not so for the last one week at least it's been a little pleasant but uh because of the, of the rains",Mhm.,1,5ef1086d5234d40c8a15754a,835.04,848.56,-0.01999999999998181,14.410000000000082,0,False,True,45
18,5ef1086d5234d40c8a15754a,848.94,857.57,"No,",,0,,,,0.4900000000000091,8.629999999999995,0,False,False,1
19,5e67f0321e4f0a0a657c1d08,848.94,856.16,"but then usually last last week and grabbed that it was how mad, blazingly hot.",,0,,,,-8.629999999999995,7.219999999999914,0,False,True,15
20,5ef1086d5234d40c8a15754a,857.57,868.82,"I lived in a Wisconsin and it would get 200° and stuff and people don't think about it, but it's so humid that it's terrible. Yeah,","Okay. Yeah. Mhm. Yeah,",4,5e67f0321e4f0a0a657c1d08,859.64,867.66,1.4100000000000819,11.25,0,False,False,30
21,5e67f0321e4f0a0a657c1d08,867.67,868.05,I know.,,0,,,,-1.150000000000091,0.37999999999999545,0,False,True,2
22,5ef1086d5234d40c8a15754a,868.83,869.57,the only difference,,0,,,,0.7800000000000864,0.7400000000000091,0,False,False,3
23,5e67f0321e4f0a0a657c1d08,869.14,869.56,So,,0,,,,-0.43000000000006366,0.4199999999999591,0,False,True,1
24,5ef1086d5234d40c8a15754a,869.58,878.66,"Arizona is that you have it for like four months of over 100 degrees and you're just like, what are you",uh huh. Yeah. Yeah.,3,5e67f0321e4f0a0a657c1d08,874.14,877.94,0.020000000000095497,9.079999999999927,0,False,False,22
25,5e67f0321e4f0a0a657c1d08,878.64,878.74,I,,0,,,,-0.01999999999998181,0.10000000000002274,0,False,True,1
26,5ef1086d5234d40c8a15754a,878.66,878.84,going?,,0,,,,-0.08000000000004093,0.18000000000006366,1,True,True,1
27,5e67f0321e4f0a0a657c1d08,878.74,893.86,mean I was in florida for vital. In fact I was in florida for two years. I was the masters were there and uh so I know extreme temperatures it's it sucks and,"Mhm. Yeah. Yeah,",3,5ef1086d5234d40c8a15754a,882.54,893.78,-0.10000000000002274,15.120000000000005,0,False,True,34
28,5ef1086d5234d40c8a15754a,893.79,894.13,florida,,0,,,,-0.07000000000005002,0.34000000000003183,0,False,True,1
29,5e67f0321e4f0a0a657c1d08,893.86,894.32,you don't like,,0,,,,-0.2699999999999818,0.4600000000000364,0,False,True,4
30,5ef1086d5234d40c8a15754a,894.13,894.86,"is crazy,",,0,,,,-0.19000000000005457,0.7300000000000182,0,False,True,2
31,5e67f0321e4f0a0a657c1d08,894.32,894.45,it.,,0,,,,-0.5399999999999636,0.12999999999999545,0,False,True,1
32,5ef1086d5234d40c8a15754a,894.87,897.16,florida is so crazy.,Yeah,1,5e67f0321e4f0a0a657c1d08,895.44,895.94,0.4199999999999591,2.2899999999999636,0,False,False,4
33,5e67f0321e4f0a0a657c1d08,897.54,927.36,"it is, it was but it was all fun and then uh it's always fun when you are next to the ocean you can all have all these beach days. That was the most and you know what the best part about florida is not only only the beaches but there are also some uh freshwater springs. So every weekend we would just go there in our short swimming trunks and just dive in. It was always one.",Uh Yeah.,2,5ef1086d5234d40c8a15754a,919.28,926.95,0.37999999999999545,29.82000000000005,0,False,False,79
34,5ef1086d5234d40c8a15754a,927.14,934.55,I miss water audience sounds great Dirt.,Yeah.,1,5e67f0321e4f0a0a657c1d08,929.54,930.76,-0.22000000000002728,7.409999999999968,0,False,True,7
35,5e67f0321e4f0a0a657c1d08,932.14,947.44,"Yeah, I mean ever since the pandemic started uh possible, but I've just been holed up in my house not doing anything. We'll have been working, I work full time as well. Yeah.",Yeah.,1,5ef1086d5234d40c8a15754a,945.27,947.77,-2.409999999999968,15.300000000000068,0,False,True,35
36,5ef1086d5234d40c8a15754a,947.78,955.09,"Yeah. I mean, it doesn't really change my lifestyle because I've always worked from home for like the last three years, so",,0,,,,0.33999999999991815,7.310000000000059,0,False,False,24
37,5e67f0321e4f0a0a657c1d08,954.14,955.36,Oh that's,,0,,,,-0.9500000000000455,1.2200000000000273,0,False,True,3
38,5ef1086d5234d40c8a15754a,955.09,956.04,"it was like, oh,",,0,,,,-0.2699999999999818,0.9499999999999318,0,False,True,4
39,5e67f0321e4f0a0a657c1d08,955.74,956.16,well.,,0,,,,-0.2999999999999545,0.4199999999999591,0,False,True,1
40,5ef1086d5234d40c8a15754a,956.04,964.76,"I've been training, it's fine. Like all the jokes about introverts have been training for this their whole life, I'm like, yeah. Yeah, that's how it is.",Uh huh. Mhm.,3,5e67f0321e4f0a0a657c1d08,958.14,962.25,-0.12000000000000455,8.720000000000027,0,False,True,31
41,5e67f0321e4f0a0a657c1d08,964.44,988.66,"Well, well I used to go to work every day and suddenly for the first two weeks when the center everything started and it just started abruptly. It was a sudden decision made by the director of uh of the company. He's like on March seven, everything was fine on March. You're not coming out to the office. So it was just that sudden,","Yeah. Mhm. Mhm. Yeah,",4,5ef1086d5234d40c8a15754a,965.61,989.74,-0.31999999999993634,24.219999999999914,0,False,True,66
42,5ef1086d5234d40c8a15754a,989.75,991.64,"it's really abrupt. A lot of people,","yeah,",1,5e67f0321e4f0a0a657c1d08,990.34,991.81,1.0900000000000318,1.8899999999999864,0,False,False,8
