turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e9e23f67266611ed1219178,4.74,279.95,Uh huh. Yeah mm. Yes. Okay. Yeah. Yeah. See. Mhm. Yeah. Yeah. Yeah. Mhm. Okay. Yeah. Mhm. Yeah. Okay mm. Mhm. Yeah mm. Yeah. Sure. All right. Yeah. Yeah. Yeah. Right. Mhm. Yeah. Yeah. Yeah. Mhm. Yeah. Okay. Yeah. Mhm. Yeah mm. Mhm. Okay. Yeah. Yeah. Mhm. Yeah. Yeah. Mhm. Yeah. Can you hear me? Cool.,Yeah. Yeah.,2,5e3d91a08dfa83000c9f4d36,276.24,279.35,,275.21,1,False,False,56
1,5e3d91a08dfa83000c9f4d36,279.74,281.36,Yeah. Okay.,,0,,,,-0.20999999999997954,1.6200000000000045,0,False,True,2
2,5e9e23f67266611ed1219178,280.54,294.05,Zillow weaker but interesting. Uh huh. Yeah. Yeah. Yeah. Yeah. Okay. You said you can hear me. Mhm.,Mm. Mhm. Yeah.,2,5e3d91a08dfa83000c9f4d36,286.14,293.18,-0.8199999999999932,13.509999999999991,0,False,True,18
3,5e3d91a08dfa83000c9f4d36,296.24,300.16,Over the years. Mhm. Okay.,Yeah. Yeah.,2,5e9e23f67266611ed1219178,296.34,299.66,2.1899999999999977,3.920000000000016,0,False,False,5
4,5e9e23f67266611ed1219178,300.74,301.06,Okay.,,0,,,,0.5799999999999841,0.3199999999999932,0,False,False,1
5,5e3d91a08dfa83000c9f4d36,300.84,315.16,"Mm hmm. See. Mhm. Yeah. Yeah. Yeah. Okay. Right. Mhm, mm hmm.",Mhm.,1,5e9e23f67266611ed1219178,313.74,313.95,-0.22000000000002728,14.32000000000005,0,False,True,12
6,5e9e23f67266611ed1219178,317.24,339.76,Mhm. Okay. Yeah. Yeah. Mhm. Yeah. Okay.,,0,,,,2.079999999999984,22.519999999999982,0,False,False,7
7,5e3d91a08dfa83000c9f4d36,338.94,350.78,"Mhm. I'm not sure what happened there. Um, It gave me some issue about like streaming. I don't know are you having the same issue? Thanks.",,0,,,,-0.8199999999999932,11.839999999999975,1,False,True,28
8,5e9e23f67266611ed1219178,348.94,350.84,"No, I don't",,0,,,,-1.839999999999975,1.8999999999999773,0,False,True,4
9,5e3d91a08dfa83000c9f4d36,350.78,353.96,"So,",,0,,,,-0.060000000000002274,3.180000000000007,0,False,True,1
10,5e9e23f67266611ed1219178,350.84,371.86,think so. Yeah. Yeah. Yeah. Mhm. Yeah. Okay. Like getting a message. Yeah. Yeah.,"yeah. Yeah, Yeah.",2,5e3d91a08dfa83000c9f4d36,354.34,368.93,-3.1200000000000045,21.02000000000004,0,False,True,14
11,5e3d91a08dfa83000c9f4d36,371.62,372.36,Yeah.,,0,,,,-0.2400000000000091,0.7400000000000091,0,False,True,1
12,5e9e23f67266611ed1219178,375.54,444.33,Fuck yeah. Mhm. Yeah. Mhm. Yeah. Shit. Yeah. Yeah. Mhm. Yeah. Yes. Yeah. Mhm. Common sense.,,0,,,,3.180000000000007,68.78999999999996,0,False,False,16
13,5e3d91a08dfa83000c9f4d36,445.24,451.06,Time's a charm I think. Can you remember?,Yeah. Yeah.,2,5e9e23f67266611ed1219178,446.82,449.04,0.910000000000025,5.819999999999993,1,True,False,9
14,5e9e23f67266611ed1219178,450.64,453.45,"So yeah, I can hear you.",Yeah. Okay.,2,5e3d91a08dfa83000c9f4d36,451.64,453.18,-0.4200000000000159,2.8100000000000023,0,False,True,6
15,5e3d91a08dfa83000c9f4d36,453.19,470.97,"I don't know for some reason, every couple of minutes it says that it cannot upload the stream or something because you know, so I was an edge and so now I moved to chrome's. Maybe we hopefully work a little better. Yeah. As",Oh yeah. Oh. Mhm. Yes. Yeah. Yeah. Yeah. Yeah.,8,5e9e23f67266611ed1219178,455.34,470.93,-0.2599999999999909,17.78000000000003,0,False,True,47
16,5e9e23f67266611ed1219178,470.94,471.19,Maybe,,0,,,,-0.03000000000002956,0.25,0,False,True,1
17,5e3d91a08dfa83000c9f4d36,470.97,471.05,"you,",,0,,,,-0.21999999999997044,0.07999999999998408,0,False,True,1
18,5e9e23f67266611ed1219178,471.19,476.01,that might have something to do with it. I don't know. I'm on phones so it could be it's a better,right.,1,5e3d91a08dfa83000c9f4d36,473.94,474.15,0.13999999999998636,4.819999999999993,0,False,False,24
19,5e3d91a08dfa83000c9f4d36,475.84,476.18,Brass,,0,,,,-0.17000000000001592,0.34000000000003183,0,False,True,1
