turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5f9d9521d0edb72c4a201709,5.94,571.86,Yes. Good. Yeah. Yeah. Yeah. Mhm. Mhm. Teaching what? Okay. Yeah. Mhm. Mhm. Mhm. What? Yeah. Yeah. The next. Uh huh. Thank you clinical actually. Yeah. Mhm. Yeah. Uh huh. Yeah. Mhm. Cool. Thank you complications. But yes. Uh huh. All right. Mhm. Yeah. Yeah. Uh huh. Which was used to kill but to that school. Okay. Yeah. Yeah. Yeah. Yeah. Okay. Thank you. To speak. Yeah. Yeah. Okay toothpaste mm. Mhm. Mhm. Mhm. Yeah. Okay. Mhm. What? Thank you. Okay. Yeah. Mhm. It's taking register. Okay. Yeah. Mhm. Yeah. Oh yeah. People to decide. Okay. Because first feature. Mhm. Yeah. Mhm. Excuse me? Christine. Okay 60 60. Okay. Mhm. Yeah. Okay. Mm. She's trying to look well initially. Oh. Oh yeah. Mhm. You know? Yeah. Mhm. Yeah. Okay. Okay. Uh huh. Oh that's okay. Which Yeah. Mhm. Yeah. Look at that. Right. Yeah. The investigation. Oh people the bigger the oh 66. Hello.,Mhm. Uh,1,5d437b12e2051e0001a248ca,565.54,568.92,,565.92,5,False,False,157
1,5d437b12e2051e0001a248ca,569.19,573.96,"huh Hi, sorry.",,0,,,,-2.669999999999959,4.769999999999982,0,False,True,3
2,5f9d9521d0edb72c4a201709,574.44,575.76,Problem.,,0,,,,0.4800000000000182,1.3199999999999363,0,False,False,1
3,5d437b12e2051e0001a248ca,574.84,577.56,"Pretty and align on, Hey, how are you?",,0,,,,-0.9199999999999591,2.7199999999999136,1,True,True,8
4,5f9d9521d0edb72c4a201709,577.79,584.49,All right. For you. Well,,0,,,,0.2300000000000182,6.7000000000000455,0,False,False,5
5,5d437b12e2051e0001a248ca,579.94,584.64,Good. Um These things are always so weird. Have,,0,,,,-4.5499999999999545,4.699999999999932,0,False,True,9
6,5f9d9521d0edb72c4a201709,584.49,584.84,have you?,,0,,,,-0.14999999999997726,0.35000000000002274,1,True,True,2
7,5d437b12e2051e0001a248ca,584.64,584.95,you done,,0,,,,-0.20000000000004547,0.3100000000000591,0,False,True,2
8,5f9d9521d0edb72c4a201709,584.85,587.28,I,,0,,,,-0.10000000000002274,2.42999999999995,0,False,True,1
9,5d437b12e2051e0001a248ca,584.95,587.35,that before? Uh,,0,,,,-2.3299999999999272,2.3999999999999773,1,False,True,3
10,5f9d9521d0edb72c4a201709,587.29,588.96,haven't,,0,,,,-0.06000000000005912,1.6700000000000728,0,False,True,2
11,5d437b12e2051e0001a248ca,587.35,594.45,"huh. I have a couple of times. Yes, best. Um Where are you from?",Yeah.,1,5f9d9521d0edb72c4a201709,591.14,591.76,-1.6100000000000136,7.100000000000023,1,True,True,14
