turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e0e49cfbf3d4e5b0925b2a3,4.74,23.36,right. Mhm. Mhm. Yeah. Yeah.,,0,,,,,18.619999999999997,0,False,False,5
1,5f568b81712ed00cb3759181,52.14,53.36,"Hi,",,0,,,,28.78,1.2199999999999989,0,False,False,1
2,5e0e49cfbf3d4e5b0925b2a3,53.34,54.26,Hi.,,0,,,,-0.01999999999999602,0.9199999999999946,0,False,True,1
3,5f568b81712ed00cb3759181,54.24,56.55,what's your name?,,0,,,,-0.01999999999999602,2.309999999999995,1,True,True,4
4,5e0e49cfbf3d4e5b0925b2a3,56.54,58.36,Hi. I'm Becky.,,0,,,,-0.00999999999999801,1.8200000000000003,0,False,True,4
5,5f568b81712ed00cb3759181,57.74,58.96,I'm cat.,,0,,,,-0.6199999999999974,1.2199999999999989,0,False,True,3
6,5e0e49cfbf3d4e5b0925b2a3,59.24,66.03,Nice to meet you. I'm actually surprised you came through. I was anticipating that my partner not showing up. So it's a,,0,,,,0.28000000000000114,6.789999999999999,0,False,False,24
7,5f568b81712ed00cb3759181,65.94,71.76,Um So this is actually my second time doing this. I did it yesterday.,,0,,,,-0.09000000000000341,5.820000000000007,0,False,True,14
8,5e0e49cfbf3d4e5b0925b2a3,72.44,74.45,have you been having a pleasant experience so far?,,0,,,,0.6799999999999926,2.010000000000005,1,True,False,9
9,5f568b81712ed00cb3759181,74.94,78.86,"Um I think so yeah, the guy I talked to yesterday was really nice.",,0,,,,0.4899999999999949,3.9200000000000017,0,False,False,14
10,5e0e49cfbf3d4e5b0925b2a3,79.04,84.86,Well that's great. I guess it's a way to meet people in a world where you cannot leave your house.,Yeah.,1,5f568b81712ed00cb3759181,80.14,80.64,0.18000000000000682,5.819999999999993,0,False,False,23
11,5f568b81712ed00cb3759181,83.54,87.65,"Seriously? I know, So where are you from?",Yeah,1,5e0e49cfbf3d4e5b0925b2a3,86.54,86.74,-1.3199999999999932,4.109999999999999,2,True,True,8
12,5e0e49cfbf3d4e5b0925b2a3,88.14,91.18,"I am from Cherry Hill, New Jersey. So a little",,0,,,,0.4899999999999949,3.0400000000000063,0,False,False,10
13,5f568b81712ed00cb3759181,90.98,91.68,Open?,,0,,,,-0.20000000000000284,0.7000000000000028,1,True,True,1
14,5e0e49cfbf3d4e5b0925b2a3,91.18,94.45,suburb about 20 minutes out of Philly. What the actual.,"Mhm. Oh wow,",3,5f568b81712ed00cb3759181,92.64,94.93,-0.5,3.269999999999996,0,False,True,10
15,5f568b81712ed00cb3759181,94.94,97.04,"California, like an",Yes.,1,5e0e49cfbf3d4e5b0925b2a3,96.64,96.91,0.4899999999999949,2.1000000000000085,0,False,False,3
16,5e0e49cfbf3d4e5b0925b2a3,96.91,97.15,But,,0,,,,-0.13000000000000966,0.2400000000000091,0,False,True,1
17,5f568b81712ed00cb3759181,97.05,100.05,like an hour north of Los Angeles?,,0,,,,-0.10000000000000853,3.0,1,True,True,7
18,5e0e49cfbf3d4e5b0925b2a3,100.74,107.37,okay. Yeah I have a few friends in California and I don't I know what's important,Mhm.,1,5f568b81712ed00cb3759181,102.94,103.56,0.6899999999999977,6.63000000000001,0,False,False,18
19,5f568b81712ed00cb3759181,107.04,107.55,And then,,0,,,,-0.3299999999999983,0.5099999999999909,0,False,True,2
20,5e0e49cfbf3d4e5b0925b2a3,107.37,115.39,there but I don't know where anything is. Ever. As long as your house is not on fire at the moment. I guess that's,Mhm Oh,2,5f568b81712ed00cb3759181,108.04,112.66,-0.1799999999999926,8.019999999999996,0,False,True,26
21,5f568b81712ed00cb3759181,115.24,115.87,"no,",,0,,,,-0.15000000000000568,0.6300000000000097,0,False,True,1
22,5e0e49cfbf3d4e5b0925b2a3,115.39,115.65,the most.,,0,,,,-0.480000000000004,0.2600000000000051,0,False,True,2
23,5f568b81712ed00cb3759181,115.87,123.65,"it's not thankful for because every year we have to watch out for that, so yeah.",Yeah. Yeah.,2,5e0e49cfbf3d4e5b0925b2a3,116.04,122.15,0.21999999999999886,7.780000000000001,0,False,False,17
24,5e0e49cfbf3d4e5b0925b2a3,122.74,123.66,No stressful.,,0,,,,-0.9100000000000108,0.9200000000000017,0,False,True,2
25,5f568b81712ed00cb3759181,124.14,143.36,"Oh it's extremely stressful. Yeah, but you know the weather is nice, like we never, We never have like a winter here, it's like between 65 and 75 almost year round and that's it. So how's life in New Jersey?",Uh huh. Uh huh. Yeah wow. Yeah. Mhm.,6,5e0e49cfbf3d4e5b0925b2a3,129.34,141.85,0.480000000000004,19.220000000000013,1,True,False,44
26,5e0e49cfbf3d4e5b0925b2a3,144.34,152.21,"It's really uneventful. Um Currently I'm in my second year in grad school, I'm getting my masters in social work",Mhm. Mhm. Uh huh.,3,5f568b81712ed00cb3759181,148.54,150.96,0.9799999999999898,7.8700000000000045,0,False,False,23
27,5f568b81712ed00cb3759181,151.64,152.15,Crazy.,,0,,,,-0.5700000000000216,0.5100000000000193,0,False,True,1
