turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5eb9798c0c0c95075ce61dfb,7.54,94.55,Mhm. Okay. And then Mhm. Mhm. All right. Yeah. Yeah. Okay. Mhm. Uh huh.,,0,,,,,87.00999999999999,0,False,False,14
1,5e567cd58e4500024e8d096c,95.34,97.75,Oh I can hear you. Can you hear me okay? Mhm.,"Yeah,",1,5eb9798c0c0c95075ce61dfb,97.54,97.8,0.7900000000000063,2.4099999999999966,1,False,False,11
2,5eb9798c0c0c95075ce61dfb,97.81,98.95,I can hear you just fine.,,0,,,,0.060000000000002274,1.1400000000000006,0,False,False,6
3,5e567cd58e4500024e8d096c,100.14,102.85,Yeah. How you doing?,,0,,,,1.1899999999999977,2.7099999999999937,1,True,False,4
4,5eb9798c0c0c95075ce61dfb,102.64,103.86,Good. Yourself?,,0,,,,-0.20999999999999375,1.2199999999999989,1,True,True,2
5,5e567cd58e4500024e8d096c,104.24,107.36,Good. Are you in bed right now?,,0,,,,0.37999999999999545,3.1200000000000045,1,True,False,7
6,5eb9798c0c0c95075ce61dfb,106.64,109.46,Yes. I am always at 99 every time I go to bed.,,0,,,,-0.7199999999999989,2.819999999999993,0,False,True,12
7,5e567cd58e4500024e8d096c,109.64,111.56,Oh yeah. Are you hence?,,0,,,,0.18000000000000682,1.9200000000000017,1,True,False,5
8,5eb9798c0c0c95075ce61dfb,110.84,114.66,"Okay. No, not at all. I just like my bit.",,0,,,,-0.7199999999999989,3.819999999999993,0,False,True,10
9,5e567cd58e4500024e8d096c,114.64,119.05,Oh that's okay. I almost went to you from my bedroom.,Yeah.,1,5eb9798c0c0c95075ce61dfb,116.24,116.56,-0.01999999999999602,4.409999999999997,0,False,True,12
10,5eb9798c0c0c95075ce61dfb,118.34,122.66,"Don't worry. This is my office, this is my everything.",Oh,1,5e567cd58e4500024e8d096c,119.74,121.06,-0.7099999999999937,4.319999999999993,0,False,True,11
11,5e567cd58e4500024e8d096c,121.94,125.26,oh right on yeah that's my second office. I called the bat cave,,0,,,,-0.7199999999999989,3.3200000000000074,0,False,True,14
12,5eb9798c0c0c95075ce61dfb,125.54,126.16,Hi failure.,,0,,,,0.28000000000000114,0.6199999999999903,0,False,False,2
13,5e567cd58e4500024e8d096c,126.64,128.35,but I don't know what you can see here.,,0,,,,0.480000000000004,1.7099999999999937,0,False,False,10
14,5eb9798c0c0c95075ce61dfb,128.54,130.25,Yes. You have an awesome house. What is that,,0,,,,0.18999999999999773,1.710000000000008,0,False,False,9
15,5e567cd58e4500024e8d096c,130.14,131.24,It's,,0,,,,-0.11000000000001364,1.1000000000000227,0,False,True,2
16,5eb9798c0c0c95075ce61dfb,131.04,131.46,I like?,,0,,,,-0.20000000000001705,0.4200000000000159,1,True,True,2
17,5e567cd58e4500024e8d096c,131.24,154.96,"a it's a glorified double wide so you look pretty young but this is very eighties. What they do mobile homes like back in the eighties so the really drab uh everyone loves that though, but there are all crystals in the backgrounds. Um We don't have a lot of knickknacks in our house. Just a lot of crystals. Uh",Yeah. Okay. Okay. Yeah. Yeah. Yeah. Yeah. Are,7,5eb9798c0c0c95075ce61dfb,132.14,154.7,-0.21999999999999886,23.72,0,False,True,62
18,5eb9798c0c0c95075ce61dfb,154.7,157.76,"those things for support? Like it feels like they just get in the way, you know?",,0,,,,-0.2600000000000193,3.0600000000000023,2,True,True,16
19,5e567cd58e4500024e8d096c,157.84,172.65,"Yeah they are in the way. Yeah if it was up to me I would take that whole thing out because you could you could even expand, there's like a kitchen island right behind that. Um But it be cool if you could knock that out and then people could sit around it too.",Yeah. Yeah.,2,5eb9798c0c0c95075ce61dfb,162.24,167.95,0.0800000000000125,14.810000000000002,0,False,False,55
20,5eb9798c0c0c95075ce61dfb,172.44,180.24,"Yeah. I thought it would be like you set up like the, you know bar stools and then pass food you know through it. It kind of gets in the way. Yeah.",Oh yeah yeah yeah.,4,5e567cd58e4500024e8d096c,173.94,178.34,-0.21000000000000796,7.800000000000011,0,False,True,32
21,5e567cd58e4500024e8d096c,180.14,199.56,"Yeah but we didn't get this place. Uh I don't know if I can show you, hold on, let me see if I can show you the outside. I don't know, you can't see through. Um We got this place for the land, not the house,",,0,,,,-0.10000000000002274,19.420000000000016,0,False,True,50
22,5eb9798c0c0c95075ce61dfb,198.04,199.75,Okay. I feel you,,0,,,,-1.5200000000000102,1.710000000000008,0,False,True,4
23,5e567cd58e4500024e8d096c,199.94,204.26,but I'm in I'm in southern Oregon. Um,right.,1,5eb9798c0c0c95075ce61dfb,200.74,201.55,0.18999999999999773,4.319999999999993,0,False,False,10
24,5eb9798c0c0c95075ce61dfb,203.64,206.68,"Nice. I mean, I mean a suburb of Houston",,0,,,,-0.6200000000000045,3.0400000000000205,0,False,True,9
25,5e567cd58e4500024e8d096c,206.54,206.96,Oops.,,0,,,,-0.14000000000001478,0.4200000000000159,0,False,True,1
26,5eb9798c0c0c95075ce61dfb,206.68,208.45,is called Sugarland. Okay.,,0,,,,-0.28000000000000114,1.7699999999999818,0,False,True,4
27,5e567cd58e4500024e8d096c,208.24,211.01,Uh Sugarland in Houston. Oh,Yes.,1,5eb9798c0c0c95075ce61dfb,210.14,210.75,-0.20999999999997954,2.769999999999982,0,False,True,5
28,5eb9798c0c0c95075ce61dfb,210.76,211.24,Uh huh.,,0,,,,-0.25,0.4800000000000182,0,False,True,2
29,5e567cd58e4500024e8d096c,211.02,212.86,right on uh,,0,,,,-0.21999999999999886,1.8400000000000034,0,False,True,3
30,5eb9798c0c0c95075ce61dfb,212.14,214.3,Yeah. How do you like Oregon? Have,,0,,,,-0.7200000000000273,2.160000000000025,1,False,True,7
31,5e567cd58e4500024e8d096c,214.24,214.46,is,,0,,,,-0.060000000000002274,0.21999999999999886,0,False,True,1
32,5eb9798c0c0c95075ce61dfb,214.3,214.48,you been,,0,,,,-0.1599999999999966,0.1799999999999784,0,False,True,2
33,5e567cd58e4500024e8d096c,214.46,214.61,it,,0,,,,-0.01999999999998181,0.15000000000000568,0,False,True,1
34,5eb9798c0c0c95075ce61dfb,214.48,214.69,there for,,0,,,,-0.13000000000002387,0.21000000000000796,0,False,True,2
35,5e567cd58e4500024e8d096c,214.61,219.55,hot? Is it hot as balls there too right now?,a while?,1,5eb9798c0c0c95075ce61dfb,214.69,215.16,-0.07999999999998408,4.939999999999998,2,True,True,10
36,5eb9798c0c0c95075ce61dfb,217.64,224.75,"It is hot as balls, thankfully it is very normal to have centralized a C everywhere in texas. I hear that's not the case everywhere, but we're going",Uh,1,5e567cd58e4500024e8d096c,222.34,222.96,-1.910000000000025,7.110000000000014,0,False,True,30
37,5e567cd58e4500024e8d096c,225.14,243.56,"It's not. Um But yeah mine just came on right before um I was speaking with you. Um But I don't try to keep it like at a reasonable setting um when my roommates are gone, so I'm not just spending the money for just me, but","mhm. Yeah. Oh, nice.",3,5eb9798c0c0c95075ce61dfb,226.84,243.17,0.38999999999998636,18.420000000000016,0,False,False,50
38,5eb9798c0c0c95075ce61dfb,243.17,244.05,How many roommates you live with?,,0,,,,-0.3900000000000148,0.8800000000000239,1,True,True,6
39,5e567cd58e4500024e8d096c,244.54,270.36,just to um my partner and then our friend um we lived with him at another location to um But the owner sold the house. Um so we had to find a new place and I didn't think that um finding a place in southern Oregon would be harder than southern California. But apparently it is um.,Yeah. Mhm. Yeah. Yeah.,4,5eb9798c0c0c95075ce61dfb,246.64,268.06,0.4899999999999807,25.82000000000002,0,False,False,58
40,5eb9798c0c0c95075ce61dfb,269.84,274.86,But you're probably getting more bang for your buck I bet in southern Oregon. Yeah.,Oh yeah,1,5e567cd58e4500024e8d096c,272.84,275.05,-0.5200000000000387,5.020000000000039,0,False,True,16
41,5e567cd58e4500024e8d096c,275.06,275.93,yeah,,0,,,,0.19999999999998863,0.8700000000000045,0,False,False,1
42,5eb9798c0c0c95075ce61dfb,275.44,275.86,Mhm.,,0,,,,-0.4900000000000091,0.4200000000000159,0,False,True,1
43,5e567cd58e4500024e8d096c,275.94,287.97,and um you know Ganges legal here. So we have our own legal grow here. Um You might have seen that down the side way when I was showing you the yard. But um you,Mhm. Nice. Nice.,2,5eb9798c0c0c95075ce61dfb,280.54,287.76,0.07999999999998408,12.03000000000003,0,False,False,35
44,5eb9798c0c0c95075ce61dfb,287.77,288.05,Is,,0,,,,-0.20000000000004547,0.28000000000002956,0,False,True,1
45,5e567cd58e4500024e8d096c,287.97,288.11,can,,0,,,,-0.07999999999998408,0.13999999999998636,0,False,True,1
46,5eb9798c0c0c95075ce61dfb,288.05,288.17,that,,0,,,,-0.060000000000002274,0.12000000000000455,0,False,True,1
47,5e567cd58e4500024e8d096c,288.11,288.46,legally,,0,,,,-0.060000000000002274,0.3499999999999659,0,False,True,1
