turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ea74bccac99141164dfceeb,25.44,26.06,Hi,,0,,,,,0.6199999999999974,0,False,False,1
1,5f113ec4c304894ad573296c,26.74,30.46,hi I'm Denise to just making sure you can hear me okay.,,0,,,,0.6799999999999997,3.7200000000000024,0,False,False,13
2,5ea74bccac99141164dfceeb,30.54,32.46,"Yeah, I'm amy, can you hear me?",,0,,,,0.0799999999999983,1.9200000000000017,1,True,False,8
3,5f113ec4c304894ad573296c,32.34,36.76,Yeah. Yes I sure can. Hi amy Mhm.,Uh huh.,1,5ea74bccac99141164dfceeb,35.34,36.56,-0.11999999999999744,4.419999999999995,0,False,True,8
4,5ea74bccac99141164dfceeb,36.94,39.25,Have you participated in these before,,0,,,,0.17999999999999972,2.3100000000000023,0,False,False,6
5,5f113ec4c304894ad573296c,39.64,51.06,No I had one that was supposed to be like super early in the morning and uh and when I was on there but then the person never showed up so so,"right now? Oh,",2,5ea74bccac99141164dfceeb,44.34,50.46,0.39000000000000057,11.420000000000002,0,False,False,32
6,5ea74bccac99141164dfceeb,50.94,51.18,that,,0,,,,-0.12000000000000455,0.240000000000002,0,False,True,1
7,5f113ec4c304894ad573296c,51.06,51.3,just,,0,,,,-0.11999999999999744,0.23999999999999488,0,False,True,1
8,5ea74bccac99141164dfceeb,51.18,51.75,happens.,,0,,,,-0.11999999999999744,0.5700000000000003,0,False,True,1
9,5f113ec4c304894ad573296c,51.3,57.85,"to make this evening more fun for you were having puppies right now so I gotta go sit over but the dog,",,0,,,,-0.45000000000000284,6.550000000000004,0,False,True,23
10,5ea74bccac99141164dfceeb,58.14,59.43,"Oh my goodness,",,0,,,,0.28999999999999915,1.2899999999999991,0,False,False,3
11,5f113ec4c304894ad573296c,59.34,59.67,no,,0,,,,-0.0899999999999963,0.3299999999999983,0,False,True,1
12,5ea74bccac99141164dfceeb,59.5,59.85,that's,,0,,,,-0.1700000000000017,0.3500000000000014,0,False,True,2
13,5f113ec4c304894ad573296c,59.67,59.9,isn't,,0,,,,-0.17999999999999972,0.22999999999999687,0,False,True,2
