turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5efb5f77ef19f50a68564191,4.24,79.46,"Okay. Mhm Yeah. Mhm. Mhm. Mhm Yeah, sure. Yeah. Mhm. Hey? Yeah, yeah. Mhm compliance. Mm. Business. Mhm.",,0,,,,,75.22,1,False,False,18
1,5cf6231511ba980001e3aa3d,91.34,93.25,"No, I can remove",,0,,,,11.88000000000001,1.9099999999999966,0,False,False,4
2,5efb5f77ef19f50a68564191,93.54,95.76,"I can you hear me? Mhm,",,0,,,,0.29000000000000625,2.219999999999999,1,False,False,6
3,5cf6231511ba980001e3aa3d,95.54,97.82,"so yeah,",awesome. How,1,5efb5f77ef19f50a68564191,96.24,97.69,-0.21999999999999886,2.279999999999987,0,False,True,2
4,5efb5f77ef19f50a68564191,97.69,99.85,are you? How are you today? Mhm.,,0,,,,-0.12999999999999545,2.1599999999999966,2,False,True,7
5,5cf6231511ba980001e3aa3d,99.84,101.36,I'm good. How are you? What's your name?,,0,,,,-0.009999999999990905,1.519999999999996,2,True,True,10
6,5efb5f77ef19f50a68564191,101.64,102.45,Garrett?,,0,,,,0.28000000000000114,0.8100000000000023,1,True,False,1
7,5cf6231511ba980001e3aa3d,101.84,107.92,"Okay. Sorry if my, maybe the light seems a little Harris.",,0,,,,-0.6099999999999994,6.079999999999998,0,False,True,11
8,5efb5f77ef19f50a68564191,109.24,112.39,"Well, I don't think anyone's grading you on garishness for a prolific,",Okay.,1,5cf6231511ba980001e3aa3d,110.94,112.27,1.3199999999999932,3.1500000000000057,0,False,False,14
9,5cf6231511ba980001e3aa3d,112.28,112.59,Maybe,,0,,,,-0.10999999999999943,0.3100000000000023,0,False,True,1
10,5efb5f77ef19f50a68564191,112.46,112.67,this,,0,,,,-0.13000000000000966,0.21000000000000796,0,False,True,1
11,5cf6231511ba980001e3aa3d,112.59,112.83,that's,,0,,,,-0.0799999999999983,0.23999999999999488,0,False,True,2
12,5efb5f77ef19f50a68564191,112.67,112.91,should be,,0,,,,-0.1599999999999966,0.23999999999999488,0,False,True,2
13,5cf6231511ba980001e3aa3d,112.83,113.46,what,,0,,,,-0.0799999999999983,0.6299999999999955,0,False,True,1
14,5efb5f77ef19f50a68564191,112.92,114.55,fine. Mhm.,um,1,5cf6231511ba980001e3aa3d,113.94,114.74,-0.539999999999992,1.6299999999999955,0,False,True,2
15,5cf6231511ba980001e3aa3d,114.74,116.04,"Hi, how's it going? You said",,0,,,,0.18999999999999773,1.3000000000000114,1,False,False,7
16,5efb5f77ef19f50a68564191,115.94,116.56,Good.,,0,,,,-0.10000000000000853,0.6200000000000045,0,False,True,1
17,5cf6231511ba980001e3aa3d,116.04,117.04,Garrett with,,0,,,,-0.519999999999996,1.0,0,False,True,2
18,5efb5f77ef19f50a68564191,116.94,118.52,Gary. Yeah. To,a T.,1,5cf6231511ba980001e3aa3d,117.04,117.66,-0.10000000000000853,1.5799999999999983,0,False,True,3
19,5cf6231511ba980001e3aa3d,118.44,118.86,Okay.,,0,,,,-0.0799999999999983,0.4200000000000017,0,False,True,1
20,5efb5f77ef19f50a68564191,118.52,120.45,our Tts and you,"Okay,",1,5cf6231511ba980001e3aa3d,119.74,120.17,-0.3400000000000034,1.9300000000000068,0,False,True,4
21,5cf6231511ba980001e3aa3d,120.18,121.56,nice to meet you. I'm Jessica,,0,,,,-0.269999999999996,1.3799999999999955,0,False,True,7
22,5efb5f77ef19f50a68564191,121.64,129.62,"just so very nice to meet you. Uh, is this your first time doing this study through? I forget what the name of the firm is, what whoever",,0,,,,0.0799999999999983,7.980000000000004,1,False,False,28
23,5cf6231511ba980001e3aa3d,129.34,129.68,better,,0,,,,-0.28000000000000114,0.3400000000000034,0,False,True,1
24,5efb5f77ef19f50a68564191,129.62,129.73,they,,0,,,,-0.060000000000002274,0.10999999999998522,0,False,True,1
25,5cf6231511ba980001e3aa3d,129.68,130.39,up,,0,,,,-0.04999999999998295,0.7099999999999795,0,False,True,1
26,5efb5f77ef19f50a68564191,129.74,129.95,are.,,0,,,,-0.6499999999999773,0.20999999999997954,0,False,True,1
27,5cf6231511ba980001e3aa3d,130.4,132.94,"labs or whatever. Yeah. Um No,",Yeah.,1,5efb5f77ef19f50a68564191,131.64,132.05,0.45000000000001705,2.539999999999992,0,False,False,6
28,5efb5f77ef19f50a68564191,132.44,132.65,Okay.,,0,,,,-0.5,0.21000000000000796,0,False,True,1
29,5cf6231511ba980001e3aa3d,132.95,142.05,"this is going to be my sixth one, I think my sixth successful one and then like to know show ones.","Yeah,",1,5efb5f77ef19f50a68564191,135.54,135.74,0.29999999999998295,9.100000000000023,0,False,False,21
30,5efb5f77ef19f50a68564191,142.14,152.47,"yeah, I'm glad to have more money in my Paypal account, but I kind of feel like they're thirsty for respondents because they just keep scheduling day after day after day. Like you want a larger sample size or anything? No. Okay. All",Yeah. Yeah.,2,5cf6231511ba980001e3aa3d,148.34,152.42,0.08999999999997499,10.330000000000013,1,False,False,45
31,5cf6231511ba980001e3aa3d,152.42,178.85,"I don't know. I think though a lot of people have like, you know, are like home more on their computers, more board. Like honestly, I'm just like I miss the random discussions you have with strangers that you come across. Like I miss like weird stuff like that, you know? And so this is kind of the equivalent of like when you sit at a bar and you just talk to whoever's around you only","right. Mhm. Yeah, yeah,",4,5efb5f77ef19f50a68564191,152.47,172.24,-0.05000000000001137,26.430000000000007,1,False,True,79
32,5efb5f77ef19f50a68564191,178.54,178.9,I would,,0,,,,-0.3100000000000023,0.36000000000001364,0,False,True,2
33,5cf6231511ba980001e3aa3d,178.85,179.03,for,,0,,,,-0.05000000000001137,0.18000000000000682,0,False,True,1
34,5efb5f77ef19f50a68564191,178.9,179.26,mostly,,0,,,,-0.12999999999999545,0.3599999999999852,0,False,True,1
35,5cf6231511ba980001e3aa3d,179.03,180.26,covid.,,0,,,,-0.22999999999998977,1.2299999999999898,0,False,True,1
36,5efb5f77ef19f50a68564191,179.26,214.46,"agree, but I grew up in this sort of Wild West phase of the internet where there was a lot of weird and not the internet isn't weird, but I'm also an older brother, so I'm very defensive about like how people access the internet and talking to strangers over cameras. Definitely one of those red flag um have a news of communication. It's got a bad reputation, obviously this is different, but so that leads me to a question that I like to ask people, what do you think they're trying to do in this study? Because I was very confused the first time it took, I was like, is there a prompt? Is there a suggestion, a topic like, nope, you just talk?",Oh mm. Yeah. Okay. Yeah. Yeah. Yeah. Mhm.,8,5cf6231511ba980001e3aa3d,184.34,208.06,-1.0,35.20000000000002,3,True,True,130
37,5cf6231511ba980001e3aa3d,214.14,269.25,"Um I think, but I don't know necessarily. I guess I have thought more about what would be interesting to me versus like what they're trying to accomplish, but I think it would be an interesting uh huh conceptualization of like self awareness based on the questions afterward of like how, how we were reading ourselves in terms of like how much we what percentage of the conversation we were talking were dominating, how good of a listener we are and then how other people actually perceive us. And so to me that parts of the interesting part. Um but I don't know if that's what I would assume that is at least like a sub","Yes, mm. Mhm, mm, mm. Mhm.",6,5efb5f77ef19f50a68564191,234.84,268.75,-0.3200000000000216,55.110000000000014,0,False,True,120
38,5efb5f77ef19f50a68564191,269.84,270.26,Yeah.,,0,,,,0.589999999999975,0.4200000000000159,0,False,False,1
39,5cf6231511ba980001e3aa3d,270.04,273.89,"topic of the study, but um because",Mhm. Okay.,2,5efb5f77ef19f50a68564191,271.84,273.16,-0.21999999999997044,3.849999999999966,0,False,True,7
40,5efb5f77ef19f50a68564191,273.74,273.94,Yeah.,,0,,,,-0.14999999999997726,0.19999999999998863,0,False,True,1
41,5cf6231511ba980001e3aa3d,273.89,297.38,"it seems like so obviously laid out for that type of analysis, but I think it could also just be, there could be something interesting to about like the topics that we choose and then how it relates to um whether it energizes us or not versus you know, we might","Mhm. Yeah. Mhm. Oh, thank",4,5efb5f77ef19f50a68564191,274.74,296.86,-0.05000000000001137,23.49000000000001,0,False,True,51
42,5efb5f77ef19f50a68564191,297.1,297.16,you.,,0,,,,-0.2799999999999727,0.060000000000002274,0,False,True,1
43,5cf6231511ba980001e3aa3d,297.39,369.45,"we might like the person like the one I had yesterday, the guy and I, We actually like had like a ton of stuff and really random things in common to like I volunteered as a poll worker this year. He had been a poll observer in 18, uh he's from Trinidad and I spent like two weeks there a couple, like just like a year ago, you know, like stuff that was like very like all over the place where both big theater nerds and he's a writer and I do some writing and so um lots of stuff like that. And but the whole first half of our conversation was all like election drama and stuff. And so like, it wasn't until then we started switching into like the arts and these other interests that we have that I felt like all of a sudden then our conversation got really energized and Like we ended we ended up going to like 45 minutes because then we were talking about cool stuff that we were both enjoying and so kept going. But but the whole first half of the conversation is like depressing because of the world we live in. So yeah, I don't know. Maybe there's something there too.","Yeah. Yeah. Mhm. Yeah. Mm. Yeah. Right. Yeah. Right. Yeah,",10,5efb5f77ef19f50a68564191,300.54,367.86,0.22999999999996135,72.06,0,False,False,216
44,5efb5f77ef19f50a68564191,369.84,398.13,"That's interesting. I've mostly spoken to people in their early 20s in college students which I used to teach at a university. So I have experienced talking to them about topics like this, but they were really hesitant to talk about anything political. They talked almost like it was a bad word. They're like, well, you know because of recent events and like do you mean the pandemic like no recent electoral events? I was like, Oh I mean you're, you're referring to the 2020 presidential election elect. It's like oh I see, I understand. So tell me more about","Mm. Mm Yeah,",3,5cf6231511ba980001e3aa3d,374.54,391.55,0.38999999999998636,28.29000000000002,1,False,False,106
