turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5f7e700fa9c86614bbb5343a,13.34,58.66,Mhm. Oh yeah it's Yeah.,Yeah.,1,5ea74ea1fb3f711081d6763c,57.24,57.86,,45.31999999999999,0,False,False,6
1,5ea74ea1fb3f711081d6763c,58.44,62.85,"All right,",,0,,,,-0.21999999999999886,4.410000000000004,0,False,True,2
2,5f7e700fa9c86614bbb5343a,62.44,71.55,"Hello, how are you?",okay there.,1,5ea74ea1fb3f711081d6763c,66.34,70.96,-0.4100000000000037,9.11,1,True,True,4
3,5ea74ea1fb3f711081d6763c,71.84,72.95,I'm okay. How are you?,Yeah.,1,5f7e700fa9c86614bbb5343a,72.04,72.24,0.29000000000000625,1.1099999999999994,1,True,False,6
4,5f7e700fa9c86614bbb5343a,73.14,73.76,Good.,,0,,,,0.18999999999999773,0.6200000000000045,0,False,False,1
5,5ea74ea1fb3f711081d6763c,74.84,89.66,"Um Yeah so the times I've done this, I've actually only ever managed to catch a conversation with somebody once so I wasn't really expecting you to be here. Um So I was just finishing up dinner. Do you mind if I keep eating?",Uh,1,5f7e700fa9c86614bbb5343a,84.54,85.86,1.0799999999999983,14.819999999999993,1,True,False,47
6,5f7e700fa9c86614bbb5343a,89.94,95.96,Of course. Go ahead. How many times have you done it?,Mhm. Okay.,1,5ea74ea1fb3f711081d6763c,91.64,93.26,0.28000000000000114,6.019999999999996,1,True,False,11
7,5ea74ea1fb3f711081d6763c,96.84,99.86,Um I don't know like four or 5 maybe.,,0,,,,0.8800000000000097,3.019999999999996,0,False,False,10
8,5f7e700fa9c86614bbb5343a,100.04,104.56,"Oh wow, this is the first conference. So I guess you got the book 50 every time at least.",,0,,,,0.18000000000000682,4.519999999999996,0,False,False,19
9,5ea74ea1fb3f711081d6763c,104.34,112.66,No. one time I managed to have a conversation with somebody but That was like one time out of four or 5 so. Mhm.,,0,,,,-0.21999999999999886,8.319999999999993,0,False,True,24
10,5f7e700fa9c86614bbb5343a,112.44,117.96,Okay. That's cool. What you got for dinner?,,0,,,,-0.21999999999999886,5.519999999999996,1,True,True,9
