turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e2f92e3484f9b5583eddcdb,6.64,79.05,"Yeah, wow. Four. Yeah. Okay. Yeah. Yeah. Sure. Yeah. Yeah. Yeah. Mhm. For the time, yeah. Yeah. Yeah. Shit. Mr Yeah. Mhm.",,0,,,,,72.41,0,False,False,22
1,5e7e9728b8637456f26f3372,81.84,85.66,Hello can you hear me? Hi how are you doing?,Yes. Hello?,1,5e2f92e3484f9b5583eddcdb,83.74,84.96,2.7900000000000063,3.819999999999993,2,True,False,10
2,5e2f92e3484f9b5583eddcdb,86.34,87.36,How about? How are you?,,0,,,,0.6800000000000068,1.019999999999996,2,True,False,5
3,5e7e9728b8637456f26f3372,87.84,90.45,Not too bad. It's friday.,,0,,,,0.480000000000004,2.6099999999999994,0,False,False,6
4,5e2f92e3484f9b5583eddcdb,90.44,91.85,That's true.,,0,,,,-0.010000000000005116,1.4099999999999966,0,False,True,3
5,5e7e9728b8637456f26f3372,91.74,95.55,And again I'm not quite sure what friday means anymore so.,Yeah.,1,5e2f92e3484f9b5583eddcdb,92.64,92.84,-0.10999999999999943,3.8100000000000023,0,False,True,12
6,5e2f92e3484f9b5583eddcdb,95.44,102.76,"Right. I was just, I was just actually looking at messages. My sister is presumed positive for covid, so I was just checking up on her.",Oh.,1,5e7e9728b8637456f26f3372,100.94,102.69,-0.10999999999999943,7.320000000000007,0,False,True,26
7,5e7e9728b8637456f26f3372,102.7,104.86,Oh that's horrible I'm sorry.,,0,,,,-0.060000000000002274,2.1599999999999966,0,False,True,7
8,5e2f92e3484f9b5583eddcdb,104.94,110.82,"Okay. I mean she's she's relatively healthy. So we're like, just hoping that, you know, nothing",Right.,1,5e7e9728b8637456f26f3372,109.24,109.45,0.0799999999999983,5.8799999999999955,0,False,False,19
9,5e7e9728b8637456f26f3372,110.54,110.75,No,,0,,,,-0.2799999999999869,0.20999999999999375,0,False,True,1
10,5e2f92e3484f9b5583eddcdb,110.83,111.88,too crazy happens.,,0,,,,0.0799999999999983,1.0499999999999972,0,False,False,3
11,5e7e9728b8637456f26f3372,111.44,112.29,nothing,,0,,,,-0.4399999999999977,0.8500000000000085,0,False,True,1
12,5e2f92e3484f9b5583eddcdb,111.88,113.36,But,,0,,,,-0.4100000000000108,1.480000000000004,0,False,True,1
13,5e7e9728b8637456f26f3372,112.29,113.06,but crazy.,,0,,,,-1.0699999999999932,0.769999999999996,0,False,True,2
14,5e2f92e3484f9b5583eddcdb,113.74,115.75,you never know.,Yeah,1,5e7e9728b8637456f26f3372,114.04,114.94,0.6799999999999926,2.010000000000005,0,False,False,3
15,5e7e9728b8637456f26f3372,114.95,119.86,you don't you don't I've had a loss in our family from it so,,0,,,,-0.7999999999999972,4.909999999999997,0,False,True,17
16,5e2f92e3484f9b5583eddcdb,120.14,121.16,I'm so sorry.,,0,,,,0.28000000000000114,1.019999999999996,0,False,False,4
17,5e7e9728b8637456f26f3372,121.14,129.86,it was shocking. It was because you kind of go through a bubble for a long time of I don't know.,Yeah. Yeah.,2,5e2f92e3484f9b5583eddcdb,121.74,124.96,-0.01999999999999602,8.720000000000013,0,False,True,22
18,5e2f92e3484f9b5583eddcdb,128.54,135.42,"Right. Right. It's not happening to me. So like even though it's happening, it's like it's not so direct.",Yeah,1,5e7e9728b8637456f26f3372,133.54,133.74,-1.3200000000000216,6.8799999999999955,0,False,True,23
19,5e7e9728b8637456f26f3372,135.24,141.36,"it's direct, yeah. You know somebody wants, somebody told me that you know eventually everybody will know somebody. I'm like",Yeah.,1,5e2f92e3484f9b5583eddcdb,135.43,135.84,-0.1799999999999784,6.1200000000000045,0,False,True,22
20,5e2f92e3484f9b5583eddcdb,141.14,148.46,"Right. And I was kind of the same thing. I was like, I mean, we're all taking precautions maybe, but here we are.",yeah. Yeah.,2,5e7e9728b8637456f26f3372,143.94,145.86,-0.22000000000002728,7.320000000000022,0,False,True,24
21,5e7e9728b8637456f26f3372,147.34,150.36,"Yeah. Well hopefully everything works out,",,0,,,,-1.1200000000000045,3.0200000000000102,0,False,True,6
22,5e2f92e3484f9b5583eddcdb,150.44,151.35,Thanks. I hope,,0,,,,0.07999999999998408,0.9099999999999966,0,False,False,3
23,5e7e9728b8637456f26f3372,151.34,152.3,odds,,0,,,,-0.009999999999990905,0.960000000000008,0,False,True,1
24,5e2f92e3484f9b5583eddcdb,151.35,152.86,so too. I'm sure.,,0,,,,-0.950000000000017,1.5100000000000193,0,False,True,5
25,5e7e9728b8637456f26f3372,152.3,154.25,are good the odds are there,"Yeah,",1,5e2f92e3484f9b5583eddcdb,153.24,153.65,-0.5600000000000023,1.9499999999999886,0,False,True,6
