turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ec453f93ba6b432bdf01d58,11.14,45.94,right. Yeah. Yeah. Mm. Yeah. Yeah.,,0,,,,,34.8,0,False,False,6
1,5d49b7be18ecc30017428cd2,51.54,52.05,Hello.,,0,,,,5.600000000000001,0.509999999999998,0,False,False,1
2,5ec453f93ba6b432bdf01d58,53.54,55.46,Hello?,,0,,,,1.490000000000002,1.9200000000000017,1,True,False,1
3,5d49b7be18ecc30017428cd2,55.64,56.14,Well yeah,,0,,,,0.17999999999999972,0.5,0,False,False,2
4,5ec453f93ba6b432bdf01d58,55.94,59.45,All right. How are you,,0,,,,-0.20000000000000284,3.510000000000005,0,False,True,5
5,5d49b7be18ecc30017428cd2,59.44,87.95,all right can you just give me one second please? Ben? Oh yeah man you're gonna just to yeah that's one yeah yeah like lawyer company deal but I'm not aware what better. Yeah. So d yeah,sure? Mhm. Mhm. Yeah. Yeah.,4,5ec453f93ba6b432bdf01d58,60.04,87.54,-0.010000000000005116,28.510000000000005,2,False,True,41
6,5ec453f93ba6b432bdf01d58,88.74,91.26,I don't know.,okay now,1,5d49b7be18ecc30017428cd2,89.34,91.46,0.789999999999992,2.5200000000000102,0,False,False,4
7,5d49b7be18ecc30017428cd2,91.46,99.75,where? Okay um so how are you? Yeah.,"Okay,",1,5ec453f93ba6b432bdf01d58,92.04,93.36,0.19999999999998863,8.290000000000006,2,False,False,8
8,5ec453f93ba6b432bdf01d58,99.19,106.46,"well, I'm alright. I I've done this thing once before. Have you done this before?",Okay.,1,5d49b7be18ecc30017428cd2,101.84,102.05,-0.5600000000000023,7.269999999999996,1,True,True,17
9,5d49b7be18ecc30017428cd2,106.44,118.56,"Uh Yeah I think twice, Twice, twice. But uh if I remember correctly uh this is the first one that is um recorded.",Mhm Yeah.,2,5ec453f93ba6b432bdf01d58,110.14,111.34,-0.01999999999999602,12.120000000000005,0,False,True,23
10,5ec453f93ba6b432bdf01d58,117.84,123.36,"Look,",,0,,,,-0.7199999999999989,5.519999999999996,0,False,True,1
11,5d49b7be18ecc30017428cd2,119.14,123.16,The other ones were just like uh live cats.,,0,,,,-4.219999999999999,4.019999999999996,0,False,True,9
12,5ec453f93ba6b432bdf01d58,123.74,138.26,"gotcha. Yeah. Yeah. So it's kind of an interesting thing, just like talk to a stranger for a predetermined amount of time. What what made you sign up to do the thing?",Yeah.,1,5d49b7be18ecc30017428cd2,133.34,133.54,0.5799999999999983,14.519999999999996,1,True,False,33
13,5d49b7be18ecc30017428cd2,138.94,220.26,"Yeah it is interesting fact in interesting. Uh Well I was um in prolific because I was unemployed and I needed like some some cash. Uh Also I started this because I was unemployed and I was without work permission. I'm here in the States now I'm living in Maryland but I am from chile. Mm So I I arrived here in january and I have like a whole mess with my because I came here with a Visa. Well my wife is she's studying uh in here Master and a certain degree and we have a kind of Visa that allows me to work, but I had to ask for permission to work, so. And that is like a homeless, you have to send like a letter and a lot of stuff uh to texas by mail, and then you have to wait the answer back by mail to. And I had a lot of trouble with my social security number, so I wasn't able to work like until, I don't know, like a month ago. Uh I was like really in a hurry for for money, you know? So.","Mhm. Yeah. Okay. Yeah. Mhm. Yeah,",6,5ec453f93ba6b432bdf01d58,171.34,220.73,0.6800000000000068,81.32,1,False,False,196
14,5ec453f93ba6b432bdf01d58,220.74,229.85,that makes sense. So they finally got your visa stuff figured out are you working even though it's like Covid? Did you find something?,Yeah.,1,5d49b7be18ecc30017428cd2,221.94,222.14,0.4800000000000182,9.109999999999985,2,True,False,25
15,5d49b7be18ecc30017428cd2,230.04,256.21,"Yeah. Yeah, now I'm working as a shopper in whole foods. Uh Yeah, I mean, uh it's a good way to start. Uh It is a little bit risky. Yeah, because of Covid, but but yeah, I didn't have like all the choice now. I I got my driver's license so I'm waiting uh for for the state",Okay. Mhm. Mhm. Yeah. Mhm.,5,5ec453f93ba6b432bdf01d58,234.74,245.25,0.18999999999999773,26.169999999999987,0,False,False,63
16,5ec453f93ba6b432bdf01d58,256.14,256.32,You,,0,,,,-0.06999999999999318,0.18000000000000682,0,False,True,1
17,5d49b7be18ecc30017428cd2,256.21,256.46,to,,0,,,,-0.11000000000001364,0.25,0,False,True,1
18,5ec453f93ba6b432bdf01d58,256.33,256.74,look,,0,,,,-0.12999999999999545,0.410000000000025,0,False,True,1
19,5d49b7be18ecc30017428cd2,256.46,256.95,to mail,,0,,,,-0.28000000000002956,0.4900000000000091,0,False,True,2
20,5ec453f93ba6b432bdf01d58,256.74,256.95,more.,,0,,,,-0.20999999999997954,0.20999999999997954,0,False,True,1
21,5d49b7be18ecc30017428cd2,256.95,276.32,"it to me, but I already give all the tests and stuff. I hope like with my driver's license I could work as maybe like food delivery, that it is also like going outside, but I think that is less risky than being at the supermarket. Uh",Mhm. Yeah.,2,5ec453f93ba6b432bdf01d58,257.34,274.84,0.0,19.370000000000005,0,False,False,48
22,5ec453f93ba6b432bdf01d58,275.64,275.96,Right.,,0,,,,-0.6800000000000068,0.3199999999999932,0,False,True,1
23,5d49b7be18ecc30017428cd2,276.33,322.76,"But yeah and still I'm still trying to find working what I what I what I have studied for. Uh I have a battery physics and Master and well I'm a PhD candidate and I'm like lost in my pc's part, but I have studied like social science but with some uh some uh like data stuff I know how to program and some kind of stuff. So I think that I I could be able to get a work I don't know like maybe in a research facility or something. but it has been hard you know this year has been like very hard. Uh",Yeah. Mhm. Yeah.,3,5ec453f93ba6b432bdf01d58,283.14,320.04,0.37000000000000455,46.43000000000001,0,False,False,111
24,5ec453f93ba6b432bdf01d58,321.64,327.94,"Yeah, I moved right at the world exploding. Yeah.",Yeah,1,5d49b7be18ecc30017428cd2,327.44,328.38,-1.1200000000000045,6.300000000000011,0,False,True,9
25,5d49b7be18ecc30017428cd2,328.39,337.56,"and how um how are you, how did you end up here in prolific and in this step?",Okay.,1,5ec453f93ba6b432bdf01d58,336.24,336.56,0.44999999999998863,9.170000000000016,1,True,False,18
26,5ec453f93ba6b432bdf01d58,338.04,366.96,"Yeah. Some similarity if I got a furloughed from my job because they closed down because of Covid. So I was also looking for extra money at the time. Um and I'm also a PhD candidate, but definitely not in physics. Um So, you know, with grad school, you're never making very much money so. Extra is appreciated.",Okay. Mm.,2,5d49b7be18ecc30017428cd2,346.44,358.85,0.4800000000000182,28.91999999999996,0,False,False,60
27,5d49b7be18ecc30017428cd2,366.44,375.46,"Yeah. Yeah definitely. Yeah. Well maybe TD is not in physics, it's in social science. Yeah. Yeah. What",Yeah,1,5ec453f93ba6b432bdf01d58,369.64,369.84,-0.5199999999999818,9.019999999999982,0,False,True,19
28,5ec453f93ba6b432bdf01d58,375.24,375.49,me,,0,,,,-0.21999999999997044,0.25,0,False,True,1
29,5d49b7be18ecc30017428cd2,375.46,375.66,what,,0,,,,-0.03000000000002956,0.20000000000004547,0,False,True,1
30,5ec453f93ba6b432bdf01d58,375.49,376.56,too.,,0,,,,-0.17000000000001592,1.0699999999999932,0,False,True,1
31,5d49b7be18ecc30017428cd2,375.66,377.66,is your PhD?,,0,,,,-0.8999999999999773,2.0,1,True,True,3
32,5ec453f93ba6b432bdf01d58,377.94,382.64,Clinical psychology So yeah.,"Okay, okay.",1,5d49b7be18ecc30017428cd2,380.34,381.75,0.2799999999999727,4.699999999999989,0,False,False,4
33,5d49b7be18ecc30017428cd2,382.84,386.35,Clinical psychology means uh therapy right? Like,,0,,,,0.19999999999998863,3.5100000000000477,1,False,False,7
34,5ec453f93ba6b432bdf01d58,386.94,423.35,"Um Yeah so I am trained in therapy and then also in doing um like cognitive assessments like for dementia or um autism or learning disabilities that kind of stuff. Um But then I also do um like psycho physiology research with E. G. Uh E. K. G. Those kinds of things. Um Looking at like mood disorders, depression, anxiety all of that. Um And that's that's what my research side of things is focused on.",mm,1,5d49b7be18ecc30017428cd2,408.74,409.25,0.589999999999975,36.410000000000025,0,False,False,78
35,5d49b7be18ecc30017428cd2,422.04,424.01,mm Okay. You want to,,0,,,,-1.3100000000000023,1.9699999999999704,0,False,True,5
36,5ec453f93ba6b432bdf01d58,423.96,424.25,That's,,0,,,,-0.05000000000001137,0.29000000000002046,0,False,True,2
37,5d49b7be18ecc30017428cd2,424.01,425.09,go,,0,,,,-0.2400000000000091,1.079999999999984,0,False,True,1
38,5ec453f93ba6b432bdf01d58,424.36,425.06,what happened.,,0,,,,-0.7299999999999613,0.6999999999999886,0,False,True,2
39,5d49b7be18ecc30017428cd2,425.1,428.74,into a research career like Yeah.,,0,,,,0.040000000000020464,3.6399999999999864,0,False,False,6
40,5ec453f93ba6b432bdf01d58,429.74,456.22,"Yeah ideally I would like to work in a university so that I can do teaching and research. Um But I also know that that's really hard to get into um in a lot of ways there's a lot of competition. So um if that doesn't work out I could do um I could do the testing stuff. Um like I do right now, I would probably do testing before I would do therapy because that part's",Yeah.,1,5d49b7be18ecc30017428cd2,441.34,441.96,1.0,26.480000000000018,0,False,False,81
41,5d49b7be18ecc30017428cd2,456.04,456.36,Think.,,0,,,,-0.18000000000000682,0.3199999999999932,0,False,True,1
42,5ec453f93ba6b432bdf01d58,456.22,458.24,not my favorite. Yeah.,Okay.,1,5d49b7be18ecc30017428cd2,457.64,458.96,-0.13999999999998636,2.019999999999982,0,False,True,4
43,5d49b7be18ecc30017428cd2,458.97,459.7,Okay.,,0,,,,0.7300000000000182,0.7299999999999613,0,False,False,1
44,5ec453f93ba6b432bdf01d58,459.44,459.76,Mm.,,0,,,,-0.2599999999999909,0.3199999999999932,0,False,True,1
45,5d49b7be18ecc30017428cd2,459.71,460.26,Yeah,,0,,,,-0.05000000000001137,0.5500000000000114,0,False,True,1
46,5ec453f93ba6b432bdf01d58,460.14,460.34,Yeah.,,0,,,,-0.12000000000000455,0.19999999999998863,0,False,True,1
47,5d49b7be18ecc30017428cd2,460.26,473.02,but but here like a therapist because I know it's different you know until it for example if you study psychology you study like a five year career uh and that includes,Yeah. Yeah. Yeah. Yeah. Mhm.,4,5ec453f93ba6b432bdf01d58,462.84,471.66,-0.07999999999998408,12.759999999999991,0,False,True,33
48,5ec453f93ba6b432bdf01d58,472.59,472.9,They did,,0,,,,-0.4300000000000068,0.3100000000000023,0,False,True,2
49,5d49b7be18ecc30017428cd2,473.02,473.33,like,,0,,,,0.12000000000000455,0.3100000000000023,0,False,False,1
50,5ec453f93ba6b432bdf01d58,473.1,473.33,"not,",,0,,,,-0.22999999999996135,0.22999999999996135,0,False,True,1
51,5d49b7be18ecc30017428cd2,473.34,493.35,a bachelor and then like some kind of specialization and then you are enabled to do therapy you know? But many manifests that are psychologists they told me like they are unable to do therapy but they really don't know how to do therapy because they are not prepared for that. Uh,yeah. Yeah. Yeah. Mhm. Mhm.,5,5ec453f93ba6b432bdf01d58,477.34,490.86,0.009999999999990905,20.010000000000048,1,False,False,53
52,5ec453f93ba6b432bdf01d58,494.04,533.26,"Yeah, it seems like there's a lot of um a lot of variability in the kinds of training that people get, like the program that I'm in is focused on um training like clinical scientists. So they want people that can like design and um evaluate interventions. Um rather than actually doing them one on one is sort of their their primary goal is kind of like create the therapy but not actually do it. So we don't do as much training and therapy as um like a practitioner um focused PhD",Okay.,1,5d49b7be18ecc30017428cd2,524.24,524.45,0.6899999999999977,39.21999999999997,0,False,False,95
53,5d49b7be18ecc30017428cd2,533.54,534.0,And,,0,,,,0.2799999999999727,0.4600000000000364,0,False,False,1
54,5ec453f93ba6b432bdf01d58,533.64,534.15,"might,",,0,,,,-0.36000000000001364,0.5099999999999909,0,False,True,1
55,5d49b7be18ecc30017428cd2,534.01,543.86,it and the practitioner will have like a different kind of ph d. Or we will have like uh some kind of different doctorate or or,"yeah. Okay,",2,5ec453f93ba6b432bdf01d58,536.14,537.05,-0.13999999999998636,9.850000000000023,0,False,True,26
56,5ec453f93ba6b432bdf01d58,544.04,618.84,"um a lot of people, it seems like if they do a practitioner focused PhD that actually do like a side and they don't do research but they do a doctorate in psychology um to be really focused on doing actual like therapy and stuff. Um But it seems like there there are also um like just regular PhD programs that are more focused on on training therapists as well. Um Mind just happens to be one that's more focused on the science aspect. Um But I do know people that do like their masters in psychology or in counseling or social work or whatever, like their whole entire schooling is about how to do therapy. Um And so they get a lot more like hours of practice before they're out and doing it and mine like therapy is just a small portion of what we're expected to learn and do. Um So yeah, I could relate to feeling like I wasn't prepared to go out and be a therapist, but I've done it. Yeah.",yeah mm. Oh okay.,4,5d49b7be18ecc30017428cd2,553.24,618.28,0.17999999999994998,74.80000000000007,0,False,False,181
57,5d49b7be18ecc30017428cd2,618.29,620.24,Okay. Yeah.,,0,,,,-0.5500000000000682,1.9500000000000455,0,False,True,2
58,5ec453f93ba6b432bdf01d58,619.34,625.44,Yeah. What is your social science what specifically? Yeah.,Oh,1,5d49b7be18ecc30017428cd2,625.04,626.14,-0.8999999999999773,6.100000000000023,1,False,True,9
59,5d49b7be18ecc30017428cd2,626.15,700.37,"it's difficult to define because. Well the program was a new program. I was part of the first generation of the program. And the program the program title is social complexity. And it is like pointed to like in general like to do social science but with some with some different things that the typical sociology or economy uh research. Uh We we use a lot of um methods like I don't know like I don't know if methods from data science and all that kind of stuff computational social science. Uh We do a lot of um we also have uh it is like a little bit of everything you know I had like uh subjects from in theory microeconomics, uh network analysis. Um We also have like another branch of this lab that do um neuroscience. They they do research in like decision uh",Yeah. Mhm. Mhm. Uh huh. Yeah. Yeah. Mhm. Yeah. Yeah. Uh huh. Yeah. Yeah. Yeah. Mhm.,14,5ec453f93ba6b432bdf01d58,633.24,698.95,0.7099999999999227,74.22000000000003,0,False,False,149
60,5ec453f93ba6b432bdf01d58,699.94,700.96,Mhm.,,0,,,,-0.42999999999995,1.0199999999999818,0,False,True,1
