turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e9ce0a46976671ceda6082a,7.84,10.75,"Yeah, no, no.",,0,,,,,2.91,0,False,False,3
1,5aaf4b0ce1546900019b01de,11.5,15.12,"leo, can you hear me?",,0,,,,0.75,3.619999999999999,1,True,False,5
2,5e9ce0a46976671ceda6082a,13.94,15.86,Yes we can the world.,,0,,,,-1.1799999999999997,1.92,0,False,True,5
3,5aaf4b0ce1546900019b01de,17.34,29.34,"Hold on 1 2nd. I can't hear you very well. Oh. Mhm. Okay. There you go. Yeah,",Mhm. Mhm.,2,5e9ce0a46976671ceda6082a,17.34,24.86,1.4800000000000004,12.0,0,False,False,18
4,5e9ce0a46976671ceda6082a,29.14,30.25,"Hey, how's it going?",,0,,,,-0.1999999999999993,1.1099999999999994,1,True,True,5
5,5aaf4b0ce1546900019b01de,31.44,33.45,pretty good. Are you?,,0,,,,1.1900000000000013,2.0100000000000016,1,True,False,4
6,5e9ce0a46976671ceda6082a,32.64,35.36,"Good, I'm Stephen.",,0,,,,-0.8100000000000023,2.719999999999999,0,False,True,4
7,5aaf4b0ce1546900019b01de,36.84,37.9,I'm kelly. Good to meet,,0,,,,1.480000000000004,1.0599999999999952,0,False,False,6
8,5e9ce0a46976671ceda6082a,37.74,37.97,"Hey,",,0,,,,-0.1599999999999966,0.22999999999999687,0,False,True,1
9,5aaf4b0ce1546900019b01de,37.9,38.46,"you,",,0,,,,-0.07000000000000028,0.5600000000000023,0,False,True,1
10,5e9ce0a46976671ceda6082a,37.97,40.76,good to meet you too. Have you ever done this before?,"wow,",1,5aaf4b0ce1546900019b01de,38.94,39.15,-0.490000000000002,2.789999999999999,1,True,True,11
11,5aaf4b0ce1546900019b01de,40.24,44.66,"mm hmm. No, I have an interview.",,0,,,,-0.519999999999996,4.419999999999995,0,False,True,7
12,5e9ce0a46976671ceda6082a,43.44,52.17,"Yeah, I did one yesterday uh worked out pretty well, had a conversation with the guy from michigan and I",Mhm. Mhm.,2,5aaf4b0ce1546900019b01de,46.44,48.55,-1.2199999999999989,8.730000000000004,0,False,True,20
13,5aaf4b0ce1546900019b01de,52.14,52.36,Come,,0,,,,-0.030000000000001137,0.21999999999999886,0,False,True,1
14,5e9ce0a46976671ceda6082a,52.18,52.45,"don't know,",,0,,,,-0.17999999999999972,0.2700000000000031,0,False,True,3
15,5aaf4b0ce1546900019b01de,52.36,52.47,on.,,0,,,,-0.09000000000000341,0.10999999999999943,0,False,True,1
16,5e9ce0a46976671ceda6082a,52.45,53.86,"it's kind of interesting, so",,0,,,,-0.01999999999999602,1.4099999999999966,0,False,True,6
17,5aaf4b0ce1546900019b01de,53.44,63.65,"Yeah. Yeah, I noticed they don't really give you a lot of direction. I'm like what to talk about. So it's just kind of open to whatever.",,0,,,,-0.4200000000000017,10.21,0,False,True,30
18,5e9ce0a46976671ceda6082a,62.24,71.09,"yeah, he uh just happened to be in the same industry as me, so we kind of hit it off and just started talking, so it went",,0,,,,-1.4099999999999966,8.850000000000001,0,False,True,27
19,5aaf4b0ce1546900019b01de,70.94,71.24,So,,0,,,,-0.15000000000000568,0.29999999999999716,0,False,True,1
20,5e9ce0a46976671ceda6082a,71.09,79.95,"by pretty quick, but I guess it just depends on like yeah, randomly here you get paired up with how well it goes or whatever.",yeah. Yes. Mhm,3,5aaf4b0ce1546900019b01de,71.5,77.15,-0.14999999999999147,8.86,0,False,True,25
21,5aaf4b0ce1546900019b01de,80.04,91.06,"Yeah. Yeah. I've only actually been on prolific for like, I don't know, two or three weeks, like I haven't really been doing that long. So um",,0,,,,0.09000000000000341,11.019999999999996,0,False,False,30
22,5e9ce0a46976671ceda6082a,91.04,91.2,How,,0,,,,-0.01999999999999602,0.1599999999999966,0,False,True,1
23,5aaf4b0ce1546900019b01de,91.07,91.85,I'm,,0,,,,-0.13000000000000966,0.7800000000000011,0,False,True,2
24,5e9ce0a46976671ceda6082a,91.2,91.96,do you like it?,,0,,,,-0.6499999999999915,0.7599999999999909,1,True,True,4
25,5aaf4b0ce1546900019b01de,91.85,100.38,"not sure if they, you know, I like it a lot. Like have you ever used amazon mturk before?",Okay.,1,5e9ce0a46976671ceda6082a,95.44,95.65,-0.10999999999999943,8.530000000000001,1,True,True,19
26,5e9ce0a46976671ceda6082a,98.44,103.66,"No, I have enough, I've heard about it but I've never used it words.",Yeah. So,1,5aaf4b0ce1546900019b01de,101.94,103.61,-1.9399999999999977,5.219999999999999,0,False,True,16
27,5aaf4b0ce1546900019b01de,103.61,112.28,"I use that for years just like to earn like amazon gift cards, like buy things on amazon I don't actually",Mhm.,1,5e9ce0a46976671ceda6082a,104.44,104.86,-0.04999999999999716,8.670000000000002,0,False,True,22
28,5e9ce0a46976671ceda6082a,112.24,112.56,You're,,0,,,,-0.04000000000000625,0.3200000000000074,0,False,True,2
29,5aaf4b0ce1546900019b01de,112.28,129.45,"need. But then I heard about the thick and I like it a little bit better because it just seems like there's less problems and it just, it's a little smoother and I don't know, it just seems like it's a lot better. The surveys are pretty interesting too,",mhm mm. Yeah. Mhm.,4,5e9ce0a46976671ceda6082a,113.84,118.36,-0.28000000000000114,17.169999999999987,0,False,True,53
30,5e9ce0a46976671ceda6082a,130.34,131.21,"Yeah, I've done",,0,,,,0.8900000000000148,0.8700000000000045,0,False,False,4
31,5aaf4b0ce1546900019b01de,131.24,131.74,but yeah.,,0,,,,0.030000000000001137,0.5,0,False,False,2
32,5e9ce0a46976671ceda6082a,131.7,152.66,"that, I started like uh probably it's probably mayor june um and I've been like working, working from home a lot, so I have like a lot of spare like computer time, just like working for things to do. So um I just started his that so like I have done like I don't know, maybe","Mhm. Yeah. Okay. Okay. Mhm, mm hmm. Yeah. Mhm. Mhm.",10,5aaf4b0ce1546900019b01de,132.94,151.65,-0.040000000000020464,20.960000000000008,0,False,True,59
33,5aaf4b0ce1546900019b01de,152.99,153.62,Also,,0,,,,0.3300000000000125,0.6299999999999955,0,False,False,1
34,5e9ce0a46976671ceda6082a,154.04,158.63,A couple of days or something like that you know? So you know probably done like,,0,,,,0.4199999999999875,4.590000000000003,1,False,False,16
35,5aaf4b0ce1546900019b01de,158.64,158.88,you,,0,,,,0.009999999999990905,0.2400000000000091,0,False,False,1
36,5e9ce0a46976671ceda6082a,158.64,159.19,"200,",,0,,,,-0.2400000000000091,0.5500000000000114,0,False,True,1
37,5aaf4b0ce1546900019b01de,158.88,159.44,"have,",,0,,,,-0.3100000000000023,0.5600000000000023,0,False,True,1
38,5e9ce0a46976671ceda6082a,159.42,180.68,"and something surveys like over the summer. So it's been quite interesting. I like I like some of them, some of them are kind of annoying but um you know some of them are okay. I kind of like the ones that are more just like asking your opinions about stuff, but the ones that are like um someone like play games with you and um I",yeah. Yeah. Okay. Mhm. Oh,5,5aaf4b0ce1546900019b01de,169.34,180.63,-0.020000000000010232,21.26000000000002,0,False,True,68
39,5aaf4b0ce1546900019b01de,180.63,181.16,"yeah,",,0,,,,-0.05000000000001137,0.5300000000000011,0,False,True,1
40,5e9ce0a46976671ceda6082a,180.73,195.65,"never got the ones that are like add these numbers together and like things like that. We're just like trying to like, I don't know, I guess it's trying to see how you're active. Uh The survey, it's like a behavioral thing. I don't know someone were kind of like aggravating. But yeah","mm hmm. Yeah,",3,5aaf4b0ce1546900019b01de,192.84,196.56,-0.4300000000000068,14.920000000000016,0,False,True,59
41,5aaf4b0ce1546900019b01de,196.56,196.97,I've gotten,,0,,,,0.9099999999999966,0.4099999999999966,0,False,False,3
42,5e9ce0a46976671ceda6082a,196.74,197.06,so that.,,0,,,,-0.22999999999998977,0.3199999999999932,0,False,True,2
43,5aaf4b0ce1546900019b01de,196.97,212.65,"a couple of those or I've gotten a few the bubbles such like click on the answer. I'm just like, oh my gosh, I can't answer this many questions via bubbles to click on.",Yeah. Yeah. Oh,3,5e9ce0a46976671ceda6082a,198.44,209.49,-0.09000000000000341,15.680000000000007,0,False,True,37
44,5e9ce0a46976671ceda6082a,209.49,258.84,"yeah I have one of those little obnoxious and it was probably probably took me like 45 minutes to do it And I think it said it was only supposed to take like 25 minutes. It's like but most things are pretty good, like nothing I can do in the time, you know, wanted whatever, but like that one is just insane. I don't know what they were thinking. But but this guy from michigan like he was telling me like that was like his main like a source of income or whatever. Like he was like on like uh Like 15 or 20 of these things like just like doing everything, you know? But I was surprised but I was just like Okay, but he said he did like 12 hours a day on his computer with this kind of insane. But so I'm probably not on my computer quite that much but maybe almost. But yeah.","Yeah. Yeah. Mhm. Mhm. Yeah. Okay. Yeah. Thanks wow, mm hmm. Yeah,",11,5aaf4b0ce1546900019b01de,218.64,258.8,-3.1599999999999966,49.349999999999966,1,False,True,161
45,5aaf4b0ce1546900019b01de,258.81,285.48,"same here. I kind of do it more for fun just to like, like right now I'm trying to save up for a laptop, like I don't really need one, but like, like I'm just gonna save up the money and the amazon gift cards enough to like get it done. But I know there are people who also do the whole amazon thing like full time and somehow make a living out of it would Yes. Well or even on the mturk thing which",Mhm. Yeah. Mhm. Oh yeah.,4,5e9ce0a46976671ceda6082a,264.04,280.94,-0.029999999999972715,26.670000000000016,0,False,True,89
46,5e9ce0a46976671ceda6082a,285.34,285.64,All,,0,,,,-0.1400000000000432,0.30000000000001137,0,False,True,1
47,5aaf4b0ce1546900019b01de,285.48,297.16,"is similar, it's like serving little tasks, but some of them pay like two cents each, so you have to be doing like, you know, Thousands of those two. Yeah.",right. No. Yeah,2,5e9ce0a46976671ceda6082a,285.64,295.06,-0.15999999999996817,11.680000000000007,0,False,True,31
48,5e9ce0a46976671ceda6082a,295.94,322.08,"I'm not that good but that's interesting. Um I think I think you know if you if you had like the right mix of stuff you can do okay but I'm just getting in it for extra like bear money or whatever, I don't know. Um That's my my my thing. But yeah that's kind of need to have a goal. I don't really have a goal like that but having",Really? Yeah. Mhm. Yeah. Yeah. Mhm. Yeah. Yeah.,7,5aaf4b0ce1546900019b01de,297.54,321.05,-1.2200000000000273,26.139999999999986,0,False,True,78
49,5aaf4b0ce1546900019b01de,321.94,322.26,Not,,0,,,,-0.13999999999998636,0.3199999999999932,0,False,True,1
50,5e9ce0a46976671ceda6082a,322.08,325.96,gold to buy a laptop with it is probably pretty pretty good thing to have.,,0,,,,-0.18000000000000682,3.8799999999999955,0,False,True,15
51,5aaf4b0ce1546900019b01de,327.24,338.49,"yeah, it's motivating me. I just wish like I can't really do it while I'm at work with my work laptop because I'd probably get in trouble, you know, doing",Yeah. Yeah. Yeah,3,5e9ce0a46976671ceda6082a,333.54,337.84,1.2800000000000296,11.25,0,False,False,34
