turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5a68c01031b87a0001c752c3,2.01,259.96,I don't think there's nothing. Mhm. Yeah. Yeah. Yeah. Oh yeah mm mm. Yeah. Yeah. Right. Yeah. Mhm. Oh. Mhm. Call Mhm. Yeah. Mhm. Mhm. Yes. Yeah. Yeah. Mhm. Mhm. Mhm. Yeah. Mhm. Yeah. But mhm. Yeah. Yeah. Mhm. Yeah. Yeah. Mhm mm. Yeah. Uh huh. Yeah. Yeah. Yeah. Yeah. Yeah. Uh huh. Yeah. Yeah. Yeah. Okay. Yeah. Mhm mm. Okay. Yeah. So um yeah. Oh. Mhm. Okay mm. Thank you. Uh huh. Mhm. Yeah. Mhm. Mhm. Yeah. Okay. Okay. Yeah.,,0,,,,,257.95,0,False,False,83
1,5e87b6503b574043226609c0,265.34,265.76,Hello?,,0,,,,5.3799999999999955,0.4200000000000159,1,True,False,1
2,5a68c01031b87a0001c752c3,265.64,267.46,But I,,0,,,,-0.12000000000000455,1.8199999999999932,0,False,True,2
3,5e87b6503b574043226609c0,267.94,272.15,Hi how are you? Right,good. Yeah.,1,5a68c01031b87a0001c752c3,268.54,271.64,0.4800000000000182,4.2099999999999795,1,False,False,5
4,5a68c01031b87a0001c752c3,272.04,272.36,Okay,,0,,,,-0.1099999999999568,0.3199999999999932,0,False,True,1
5,5e87b6503b574043226609c0,273.14,275.08,so have you done one of these,,0,,,,0.7799999999999727,1.9399999999999977,0,False,False,7
6,5a68c01031b87a0001c752c3,275.04,275.43,you,,0,,,,-0.03999999999996362,0.38999999999998636,0,False,True,1
7,5e87b6503b574043226609c0,275.08,275.96,studies before?,,0,,,,-0.35000000000002274,0.8799999999999955,1,True,True,2
8,5a68c01031b87a0001c752c3,275.43,278.75,"are, nope.",,0,,,,-0.5299999999999727,3.319999999999993,0,False,True,2
9,5e87b6503b574043226609c0,278.84,280.09,Well,,0,,,,0.08999999999997499,1.25,0,False,False,1
10,5a68c01031b87a0001c752c3,279.84,280.15,Have,,0,,,,-0.25,0.3100000000000023,0,False,True,1
11,5e87b6503b574043226609c0,280.09,280.27,you're,,0,,,,-0.060000000000002274,0.18000000000000682,0,False,True,2
12,5a68c01031b87a0001c752c3,280.15,280.56,you?,,0,,,,-0.12000000000000455,0.410000000000025,1,True,True,1
13,5e87b6503b574043226609c0,280.27,282.05,my fourth now so,Okay?,1,5a68c01031b87a0001c752c3,280.94,281.26,-0.29000000000002046,1.7800000000000296,0,False,True,4
14,5a68c01031b87a0001c752c3,281.84,285.56,"Oh my gosh, No one ever joins",Yeah,1,5e87b6503b574043226609c0,282.74,285.04,-0.21000000000003638,3.7200000000000273,0,False,True,7
15,5e87b6503b574043226609c0,285.54,285.89,third,,0,,,,-0.01999999999998181,0.3499999999999659,0,False,True,1
16,5a68c01031b87a0001c752c3,285.56,286.36,"my,",,0,,,,-0.3299999999999841,0.8000000000000114,0,False,True,1
17,5e87b6503b574043226609c0,285.89,294.06,in the past. You're my third in the past week and then the other one is about three weeks ago. So. Yeah.,wow,1,5a68c01031b87a0001c752c3,290.84,292.26,-0.4700000000000273,8.170000000000016,0,False,True,23
18,5a68c01031b87a0001c752c3,292.27,298.86,wow. Uh this is my third time. 3rd time's a charm. Fuck you carl,Yeah.,1,5e87b6503b574043226609c0,297.74,298.45,-1.7900000000000205,6.590000000000032,0,False,True,15
