turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e454881703c9401c7c3fe4f,8.54,243.51,"Yeah. Mhm mhm Yeah. Yeah. Yeah. Mhm mhm, mhm. Yeah. Yes. Yeah. Oh, what? Yeah. Right, thank you. Oh, you're right, we just got here. Yeah. Yeah. Okay. Mm wow.",,0,,,,,234.97,1,False,False,31
1,5d92a47e503fb200182d6aa5,243.34,243.85,beat again.,,0,,,,-0.1699999999999875,0.5099999999999909,0,False,True,2
2,5e454881703c9401c7c3fe4f,244.79,245.96,Through.,,0,,,,0.9399999999999977,1.170000000000016,0,False,False,1
3,5d92a47e503fb200182d6aa5,245.64,246.96,You can hear me out.,,0,,,,-0.3200000000000216,1.3200000000000216,0,False,True,5
4,5e454881703c9401c7c3fe4f,247.04,247.87,"Yeah, I can hear",,0,,,,0.07999999999998408,0.8300000000000125,0,False,False,4
5,5d92a47e503fb200182d6aa5,247.74,249.7,"Sorry,",,0,,,,-0.12999999999999545,1.9599999999999795,0,False,True,1
6,5e454881703c9401c7c3fe4f,247.87,251.0,it. Yeah. Oh,,0,,,,-1.829999999999984,3.1299999999999955,0,False,True,3
7,5d92a47e503fb200182d6aa5,249.71,252.66,Just let me say it's done one thing.,,0,,,,-1.289999999999992,2.9499999999999886,0,False,True,9
8,5e454881703c9401c7c3fe4f,252.74,255.16,no. Uh huh,Um,1,5d92a47e503fb200182d6aa5,253.64,254.36,0.0800000000000125,2.4199999999999875,0,False,False,3
9,5d92a47e503fb200182d6aa5,255.04,259.86,did you get any guidance on what we're supposed to like talk about or,"Yeah,",1,5e454881703c9401c7c3fe4f,255.54,255.74,-0.12000000000000455,4.820000000000022,0,False,True,15
10,5e454881703c9401c7c3fe4f,260.24,260.91,we just,,0,,,,0.37999999999999545,0.6700000000000159,0,False,False,2
11,5d92a47e503fb200182d6aa5,260.84,261.48,like this?,really talk,1,5e454881703c9401c7c3fe4f,260.91,261.37,-0.07000000000005002,0.6400000000000432,1,True,True,2
12,5e454881703c9401c7c3fe4f,261.37,262.24,about ourselves,,0,,,,-0.11000000000001364,0.8700000000000045,0,False,True,2
13,5d92a47e503fb200182d6aa5,262.14,262.4,As,,0,,,,-0.10000000000002274,0.2599999999999909,0,False,True,1
14,5e454881703c9401c7c3fe4f,262.24,262.62,to each,,0,,,,-0.15999999999996817,0.37999999999999545,0,False,True,2
15,5d92a47e503fb200182d6aa5,262.57,262.63,of,,0,,,,-0.05000000000001137,0.060000000000002274,0,False,True,1
16,5e454881703c9401c7c3fe4f,262.62,263.1,other,,0,,,,-0.009999999999990905,0.4800000000000182,0,False,True,1
17,5d92a47e503fb200182d6aa5,262.69,263.08,today?,,0,,,,-0.410000000000025,0.38999999999998636,1,True,True,1
18,5e454881703c9401c7c3fe4f,263.11,263.65,"like, you know,",,0,,,,0.03000000000002956,0.5399999999999636,0,False,False,3
19,5d92a47e503fb200182d6aa5,263.64,263.88,I,,0,,,,-0.009999999999990905,0.2400000000000091,0,False,True,1
20,5e454881703c9401c7c3fe4f,263.65,264.39,like,,0,,,,-0.2300000000000182,0.7400000000000091,0,False,True,1
21,5d92a47e503fb200182d6aa5,263.89,264.45,don't like.,,0,,,,-0.5,0.5600000000000023,0,False,True,3
22,5e454881703c9401c7c3fe4f,264.4,266.08,it's going to be like you meet someone for the,Uh huh,1,5d92a47e503fb200182d6aa5,265.04,265.66,-0.05000000000001137,1.6800000000000068,0,False,True,11
23,5d92a47e503fb200182d6aa5,266.04,266.25,So,,0,,,,-0.03999999999996362,0.20999999999997954,0,False,True,1
24,5e454881703c9401c7c3fe4f,266.09,268.82,"first time like yeah, kind","Okay,",1,5d92a47e503fb200182d6aa5,267.64,268.15,-0.160000000000025,2.730000000000018,0,False,True,5
25,5d92a47e503fb200182d6aa5,268.74,268.88,mm,,0,,,,-0.07999999999998408,0.13999999999998636,0,False,True,1
26,5e454881703c9401c7c3fe4f,268.82,270.25,of stuff like that.,hmm.,1,5d92a47e503fb200182d6aa5,268.88,269.06,-0.060000000000002274,1.4300000000000068,0,False,True,4
27,5d92a47e503fb200182d6aa5,270.24,274.86,"Okay, so where are you physically",Oh,1,5e454881703c9401c7c3fe4f,272.44,273.54,-0.009999999999990905,4.6200000000000045,0,False,True,6
28,5e454881703c9401c7c3fe4f,273.55,274.45,Jordan.,,0,,,,-1.3100000000000023,0.8999999999999773,0,False,True,1
29,5d92a47e503fb200182d6aa5,275.34,282.85,"and what's it like? What's it like when I'm in New york city? So I'm in Canadian, I live in new york city. I'm","Mm Oh,",2,5e454881703c9401c7c3fe4f,276.74,279.15,0.8899999999999864,7.510000000000048,2,False,False,29
30,5e454881703c9401c7c3fe4f,282.34,283.75,I mean woof.,,0,,,,-0.5100000000000477,1.410000000000025,0,False,True,3
31,5d92a47e503fb200182d6aa5,283.44,285.8,the student,,0,,,,-0.3100000000000023,2.3600000000000136,0,False,True,2
32,5e454881703c9401c7c3fe4f,284.54,285.88,I'm,,0,,,,-1.259999999999991,1.339999999999975,0,False,True,2
33,5d92a47e503fb200182d6aa5,285.81,286.65,about yourself.,a student,1,5e454881703c9401c7c3fe4f,285.88,286.31,-0.06999999999999318,0.839999999999975,0,False,True,2
34,5e454881703c9401c7c3fe4f,286.31,297.15,too. Um a Nigerian who immigrated to America and I live in Georgia. It's okay.,Okay. Yeah. Mhm.,2,5d92a47e503fb200182d6aa5,287.34,295.06,-0.339999999999975,10.839999999999975,0,False,True,16
35,5d92a47e503fb200182d6aa5,296.54,298.14,"Mhm. Yeah,",,0,,,,-0.6099999999999568,1.599999999999966,0,False,True,2
36,5e454881703c9401c7c3fe4f,298.14,298.65,"It can,",,0,,,,0.0,0.5099999999999909,0,False,False,2
37,5d92a47e503fb200182d6aa5,298.64,298.72,you,,0,,,,-0.009999999999990905,0.08000000000004093,0,False,True,1
38,5e454881703c9401c7c3fe4f,298.66,298.94,it's,,0,,,,-0.060000000000002274,0.2799999999999727,0,False,True,2
39,5d92a47e503fb200182d6aa5,298.72,299.06,"can,",,0,,,,-0.21999999999997044,0.339999999999975,0,False,True,1
40,5e454881703c9401c7c3fe4f,298.95,305.44,"yeah, it's okay. But like there's not much you can do without a car. What about you? Yeah.",yeah. Uh huh. Yeah. Oh,4,5d92a47e503fb200182d6aa5,299.64,304.86,-0.11000000000001364,6.490000000000009,1,False,True,20
41,5d92a47e503fb200182d6aa5,306.54,323.48,"well that's, I mean new york number one, new york is just like a place I wanted to live since I was like 17 years old. So there's like that side of it. But another thing about new york city is it's really like you can walk almost everywhere When there's not COVID-19",Mhm Uh huh,2,5e454881703c9401c7c3fe4f,308.04,310.15,1.1000000000000227,16.939999999999998,0,False,False,57
42,5e454881703c9401c7c3fe4f,322.34,322.76,What?,,0,,,,-1.1400000000000432,0.4200000000000159,1,True,True,1
43,5d92a47e503fb200182d6aa5,323.49,342.9,"amazing public transportation. So I'm like, I don't have a car, I've never had one. Um and just, I never felt I missed it. You know, even if maybe moving, like when I've had to move and stuff like that or you know, there's a group of you going somewhere somewhere complicated.","Yeah,",1,5e454881703c9401c7c3fe4f,327.14,327.55,0.7300000000000182,19.409999999999968,0,False,False,57
44,5e454881703c9401c7c3fe4f,342.04,342.66,that's true.,,0,,,,-0.8599999999999568,0.6200000000000045,0,False,True,3
45,5d92a47e503fb200182d6aa5,342.91,343.26,But,,0,,,,0.25,0.3499999999999659,0,False,False,1
46,5e454881703c9401c7c3fe4f,343.64,344.02,Or,,0,,,,0.37999999999999545,0.37999999999999545,0,False,False,1
47,5d92a47e503fb200182d6aa5,343.94,344.75,so,,0,,,,-0.07999999999998408,0.8100000000000023,0,False,True,1
48,5e454881703c9401c7c3fe4f,344.02,347.15,"if the train doesn't go to your location,","yeah,",1,5d92a47e503fb200182d6aa5,345.64,346.26,-0.7300000000000182,3.1299999999999955,0,False,True,9
49,5d92a47e503fb200182d6aa5,346.94,351.25,exactly. So where are you in Georgia? Like are you in Atlanta or?,,0,,,,-0.20999999999997954,4.310000000000002,2,True,True,13
50,5e454881703c9401c7c3fe4f,351.14,354.46,um I'm near Atlanta. Hi.,Yeah. Okay.,1,5d92a47e503fb200182d6aa5,352.54,354.16,-0.11000000000001364,3.319999999999993,0,False,True,6
51,5d92a47e503fb200182d6aa5,354.84,362.52,"I drove through there last, not last christmas but the christmas before and I think we",Uh huh,1,5e454881703c9401c7c3fe4f,360.84,361.04,0.37999999999999545,7.680000000000007,0,False,False,16
52,5e454881703c9401c7c3fe4f,362.44,362.58,The,,0,,,,-0.07999999999998408,0.13999999999998636,0,False,True,1
53,5d92a47e503fb200182d6aa5,362.52,362.66,were,,0,,,,-0.060000000000002274,0.1400000000000432,0,False,True,1
54,5e454881703c9401c7c3fe4f,362.58,362.86,cash,,0,,,,-0.08000000000004093,0.28000000000002956,0,False,True,1
55,5d92a47e503fb200182d6aa5,362.66,363.24,driving,,0,,,,-0.19999999999998863,0.5799999999999841,0,False,True,1
56,5e454881703c9401c7c3fe4f,362.86,363.46,drive.,,0,,,,-0.37999999999999545,0.5999999999999659,0,False,True,1
57,5d92a47e503fb200182d6aa5,363.24,383.65,"from, what's the city Savannah. We were driving through Atlanta up to, it was our christmas road trap up to. We were going up to Tennessee. So we drove through Atlanta and I have to say, I've never been more scared in my life with the amount of five raise.","Oh, okay. Yeah, wow.",4,5e454881703c9401c7c3fe4f,366.94,381.66,-0.21999999999997044,20.409999999999968,0,False,True,52
58,5e454881703c9401c7c3fe4f,383.64,389.16,Trust me. I know. I know,Oh my God,1,5d92a47e503fb200182d6aa5,385.54,387.25,-0.009999999999990905,5.520000000000039,0,False,True,6
59,5d92a47e503fb200182d6aa5,389.54,389.96,wrong.,,0,,,,0.37999999999999545,0.4199999999999591,0,False,False,1
60,5e454881703c9401c7c3fe4f,389.74,390.65,we,,0,,,,-0.21999999999997044,0.9099999999999682,0,False,True,1
61,5d92a47e503fb200182d6aa5,390.34,390.73,And it's,,0,,,,-0.3100000000000023,0.3900000000000432,0,False,True,3
62,5e454881703c9401c7c3fe4f,390.65,390.92,can't,,0,,,,-0.08000000000004093,0.27000000000003865,0,False,True,2
63,5d92a47e503fb200182d6aa5,390.73,391.02,like the,,0,,,,-0.18999999999999773,0.2899999999999636,0,False,True,2
64,5e454881703c9401c7c3fe4f,390.92,391.26,provide,,0,,,,-0.0999999999999659,0.339999999999975,0,False,True,1
65,5d92a47e503fb200182d6aa5,391.02,391.42,airport,,0,,,,-0.2400000000000091,0.4000000000000341,0,False,True,1
66,5e454881703c9401c7c3fe4f,391.26,391.76,Netherlands,,0,,,,-0.160000000000025,0.5,0,False,True,1
67,5d92a47e503fb200182d6aa5,391.42,396.36,"in the middle of the city and it's just like highways. Everyone,",uh,1,5e454881703c9401c7c3fe4f,391.77,392.05,-0.339999999999975,4.939999999999998,0,False,True,13
