turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5de855017d44177cafe19840,66.54,66.86,"Oh,",,0,,,,,0.3199999999999932,0,False,False,1
1,5c12f106c4b80e000192c472,66.64,68.16,Yeah. Hi there.,,0,,,,-0.21999999999999886,1.519999999999996,0,False,True,3
2,5de855017d44177cafe19840,69.44,70.43,"all right, just one second.",,0,,,,1.2800000000000011,0.9900000000000091,0,False,False,5
3,5c12f106c4b80e000192c472,70.14,71.23,No,,0,,,,-0.29000000000000625,1.0900000000000034,0,False,True,1
4,5de855017d44177cafe19840,70.44,71.15,I just,,0,,,,-0.7900000000000063,0.710000000000008,0,False,True,2
5,5c12f106c4b80e000192c472,71.23,71.96,problem.,,0,,,,0.0799999999999983,0.7299999999999898,0,False,False,1
6,5de855017d44177cafe19840,72.04,73.85,built a bunch of water everywhere. Right before,Mhm.,1,5c12f106c4b80e000192c472,73.04,73.46,0.0800000000000125,1.809999999999988,0,False,False,8
7,5c12f106c4b80e000192c472,73.84,75.98,Oh,,0,,,,-0.009999999999990905,2.1400000000000006,0,False,True,1
8,5de855017d44177cafe19840,73.85,75.46,"here, so I'm still a little frazzled",,0,,,,-2.1300000000000097,1.6099999999999994,0,False,True,8
9,5c12f106c4b80e000192c472,75.99,77.76,no.,,0,,,,0.5300000000000011,1.7700000000000102,0,False,False,1
10,5de855017d44177cafe19840,77.44,80.35,all over a computer all over my desk. It's,Oh,1,5c12f106c4b80e000192c472,78.74,80.32,-0.3200000000000074,2.9099999999999966,0,False,True,10
11,5c12f106c4b80e000192c472,80.32,81.46,my gosh.,,0,,,,-0.030000000000001137,1.1400000000000006,0,False,True,2
12,5de855017d44177cafe19840,82.94,87.0,but I think I'm okay now. How about,Okay,1,5c12f106c4b80e000192c472,83.04,83.85,1.480000000000004,4.060000000000002,0,False,False,9
13,5c12f106c4b80e000192c472,86.84,88.27,that's,,0,,,,-0.1599999999999966,1.4299999999999926,0,False,True,2
14,5de855017d44177cafe19840,87.0,87.26,that?,,0,,,,-1.269999999999996,0.2600000000000051,1,True,True,1
15,5c12f106c4b80e000192c472,88.27,101.95,fine. I was gonna tell you if I start wiping my eyes or whatever it looks like I'm crying my eyes. My uh I have dry eye and they just start watering sometimes so I just I'm not upset or anything. I just set,"Okay,",1,5de855017d44177cafe19840,97.64,98.45,1.009999999999991,13.680000000000007,0,False,False,47
16,5de855017d44177cafe19840,101.74,101.95,what,,0,,,,-0.21000000000000796,0.21000000000000796,0,False,True,1
17,5c12f106c4b80e000192c472,102.54,104.55,my name is Joni.,,0,,,,0.5900000000000034,2.009999999999991,0,False,False,4
18,5de855017d44177cafe19840,104.24,106.06,I speak to joining? My name is Jeff.,,0,,,,-0.3100000000000023,1.8200000000000074,1,False,True,8
19,5c12f106c4b80e000192c472,105.44,109.54,Hi Jeff. I,Mhm. Help. Yeah.,2,5de855017d44177cafe19840,106.74,108.54,-0.6200000000000045,4.1000000000000085,0,False,True,3
20,5de855017d44177cafe19840,109.34,109.63,Have,,0,,,,-0.20000000000000284,0.28999999999999204,0,False,True,1
21,5c12f106c4b80e000192c472,109.54,109.77,live,,0,,,,-0.0899999999999892,0.22999999999998977,0,False,True,1
22,5de855017d44177cafe19840,109.63,109.89,you done,,0,,,,-0.14000000000000057,0.2600000000000051,0,False,True,2
23,5c12f106c4b80e000192c472,109.77,110.76,in Georgia.,,0,,,,-0.12000000000000455,0.9900000000000091,0,False,True,2
24,5de855017d44177cafe19840,109.89,112.16,one of these before I mean.,Uh huh. Yeah.,1,5c12f106c4b80e000192c472,110.77,111.95,-0.8700000000000045,2.269999999999996,0,False,True,6
25,5c12f106c4b80e000192c472,111.95,117.95,This is my This will be my 7th one this year. So it's my last one.,Mhm. Right.,2,5de855017d44177cafe19840,113.34,114.35,-0.20999999999999375,6.0,0,False,True,17
26,5de855017d44177cafe19840,117.14,120.46,I think that's about right for me to,Yeah.,1,5c12f106c4b80e000192c472,118.54,119.94,-0.8100000000000023,3.319999999999993,0,False,True,9
27,5c12f106c4b80e000192c472,120.34,122.14,You know the first time I read about it?,Mhm.,1,5de855017d44177cafe19840,121.44,121.76,-0.11999999999999034,1.7999999999999972,1,True,True,9
28,5de855017d44177cafe19840,122.14,122.35,But.,,0,,,,0.0,0.20999999999999375,0,False,False,1
29,5c12f106c4b80e000192c472,122.15,139.06,They made it think they made it sound like um that was what it was for that. That was your limit for that particular section of the year. And now I realize it's the whole year. So I'm like oh rats.,Mhm. Yeah. Yeah.,3,5de855017d44177cafe19840,125.74,133.35,-0.19999999999998863,16.909999999999997,0,False,True,43
30,5de855017d44177cafe19840,137.44,144.36,"Yeah. Yes, I've been happy to do them. They've been a lot of fun. He said you live in Georgia,",Yeah,1,5c12f106c4b80e000192c472,143.14,143.78,-1.6200000000000045,6.920000000000016,0,False,True,22
31,5c12f106c4b80e000192c472,143.78,145.86,I think. Yeah. Where do you live?,right.,1,5de855017d44177cafe19840,145.24,145.56,-0.5800000000000125,2.0800000000000125,1,True,True,7
32,5de855017d44177cafe19840,145.94,152.96,"Uh I'm in Oregon right now. I have a sister in Oregon, a good friend in savannah and another sister in Tennessee right now.",Yeah. Oh,2,5c12f106c4b80e000192c472,146.44,153.96,0.07999999999998408,7.02000000000001,0,False,False,25
33,5c12f106c4b80e000192c472,153.97,161.85,"well you're like my husband, he has were nomads and he are there nomads and they have people everywhere and","Yeah, I",1,5de855017d44177cafe19840,160.84,161.71,1.009999999999991,7.8799999999999955,0,False,False,21
34,5de855017d44177cafe19840,161.71,161.91,come,,0,,,,-0.13999999999998636,0.19999999999998863,0,False,True,1
35,5c12f106c4b80e000192c472,161.85,162.02,like,,0,,,,-0.060000000000002274,0.17000000000001592,0,False,True,1
36,5de855017d44177cafe19840,161.91,162.07,from,,0,,,,-0.11000000000001364,0.1599999999999966,0,False,True,1
37,5c12f106c4b80e000192c472,162.02,162.33,the F.,a,1,5de855017d44177cafe19840,162.07,162.15,-0.04999999999998295,0.3100000000000023,0,False,True,2
38,5de855017d44177cafe19840,162.15,162.41,big,,0,,,,-0.18000000000000682,0.2599999999999909,0,False,True,1
39,5c12f106c4b80e000192c472,162.33,162.58,B.,,0,,,,-0.07999999999998408,0.25,0,False,True,1
40,5de855017d44177cafe19840,162.41,162.78,"family,",,0,,,,-0.17000000000001592,0.37000000000000455,0,False,True,1
41,5c12f106c4b80e000192c472,162.59,162.95,I. They,,0,,,,-0.18999999999999773,0.3599999999999852,0,False,True,2
42,5de855017d44177cafe19840,162.78,163.13,so they're,,0,,,,-0.1699999999999875,0.3499999999999943,0,False,True,3
43,5c12f106c4b80e000192c472,162.95,163.65,got.,,0,,,,-0.18000000000000682,0.700000000000017,0,False,True,1
44,5de855017d44177cafe19840,163.13,163.75,"all over,",,0,,,,-0.5200000000000102,0.6200000000000045,0,False,True,2
45,5c12f106c4b80e000192c472,164.04,164.66,What's that?,,0,,,,0.28999999999999204,0.6200000000000045,1,True,False,3
46,5de855017d44177cafe19840,165.04,166.86,"I have a big family, so they're all over.",Oh yeah.,2,5c12f106c4b80e000192c472,165.14,167.81,0.37999999999999545,1.8200000000000216,0,False,False,10
47,5c12f106c4b80e000192c472,167.82,170.36,I like your little friends there in the back.,,0,,,,0.9599999999999795,2.5400000000000205,0,False,False,9
48,5de855017d44177cafe19840,169.84,170.46,"No thanks,",,0,,,,-0.5200000000000102,0.6200000000000045,0,False,True,2
