turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5d2f7fb4bb27200019010768,260.59,267.36,and I see her. All right. So when I'm done,,0,,,,,6.770000000000039,0,False,False,11
1,5ee59169fbedfb2dede8cea8,268.84,279.66,"Hello? Can you hear me, yep,","a yeah, can",2,5d2f7fb4bb27200019010768,273.84,277.94,1.4799999999999613,10.82000000000005,1,False,False,6
2,5d2f7fb4bb27200019010768,277.94,281.26,you hear me? How's it going?,,0,,,,-1.7200000000000273,3.319999999999993,2,True,True,7
3,5ee59169fbedfb2dede8cea8,281.04,284.16,"come on, pretty good, how are you?",,0,,,,-0.21999999999997044,3.1200000000000045,1,True,True,7
4,5d2f7fb4bb27200019010768,284.54,286.66,I'm good. Uh Are you from?,"Yeah,",1,5ee59169fbedfb2dede8cea8,285.04,285.24,0.37999999999999545,2.1200000000000045,1,True,False,7
5,5ee59169fbedfb2dede8cea8,287.24,290.15,I'm from New Hampshire. What about you? Yeah.,Nice.,1,5d2f7fb4bb27200019010768,289.64,290.24,0.5799999999999841,2.909999999999968,1,False,False,9
6,5d2f7fb4bb27200019010768,290.25,290.99,Um,,0,,,,0.10000000000002274,0.7400000000000091,0,False,False,1
7,5ee59169fbedfb2dede8cea8,290.64,290.85,Mhm.,,0,,,,-0.35000000000002274,0.21000000000003638,0,False,True,1
8,5d2f7fb4bb27200019010768,291.0,293.45,um I'm in texas right now.,Mhm.,1,5ee59169fbedfb2dede8cea8,292.44,292.76,0.14999999999997726,2.4499999999999886,0,False,False,7
9,5ee59169fbedfb2dede8cea8,293.84,295.66,"Oh cool, Is it hot?",,0,,,,0.38999999999998636,1.82000000000005,1,True,False,5
10,5d2f7fb4bb27200019010768,296.44,303.19,"Uh Yeah, it's pretty hot. I mean, I grew up in Miami so kind","Okay,",1,5ee59169fbedfb2dede8cea8,301.94,302.74,0.7799999999999727,6.75,0,False,False,15
11,5ee59169fbedfb2dede8cea8,302.75,303.19,so you,,0,,,,-0.4399999999999977,0.4399999999999977,0,False,True,2
12,5d2f7fb4bb27200019010768,303.19,303.28,of,,0,,,,0.0,0.08999999999997499,0,False,False,1
13,5ee59169fbedfb2dede8cea8,303.19,306.66,"have, you know, No, the humidity and heat",a,1,5d2f7fb4bb27200019010768,303.28,303.46,-0.08999999999997499,3.4700000000000273,0,False,True,8
14,5d2f7fb4bb27200019010768,307.14,313.67,it's like a dry heat here compared to like more humid. Mm hmm. What about,Right.,1,5ee59169fbedfb2dede8cea8,312.24,312.75,0.47999999999996135,6.53000000000003,0,False,False,16
15,5ee59169fbedfb2dede8cea8,313.64,313.79,I,,0,,,,-0.03000000000002956,0.1500000000000341,0,False,True,1
16,5d2f7fb4bb27200019010768,313.67,313.86,over,,0,,,,-0.12000000000000455,0.18999999999999773,0,False,True,1
17,5ee59169fbedfb2dede8cea8,313.79,314.06,mean,,0,,,,-0.06999999999999318,0.2699999999999818,0,False,True,1
18,5d2f7fb4bb27200019010768,313.86,314.46,there?,,0,,,,-0.19999999999998863,0.5999999999999659,1,True,True,1
19,5ee59169fbedfb2dede8cea8,315.04,319.56,"I grew up in New Mexico so I kinda, I kinda know it,",,0,,,,0.5800000000000409,4.519999999999982,0,False,False,13
20,5d2f7fb4bb27200019010768,319.64,321.56,"Yeah, it's pretty similar to here,",,0,,,,0.07999999999998408,1.920000000000016,0,False,False,7
21,5ee59169fbedfb2dede8cea8,321.84,327.51,"yeah. Um here it's really humid, it's disgusting, I hate it, I",,0,,,,0.2799999999999727,5.670000000000016,0,False,False,14
22,5d2f7fb4bb27200019010768,326.84,327.26,man.,,0,,,,-0.6700000000000159,0.4200000000000159,0,False,True,1
23,5ee59169fbedfb2dede8cea8,327.52,331.75,"just moved to New Hampshire recently, so yeah,",,0,,,,0.2599999999999909,4.230000000000018,0,False,False,8
24,5d2f7fb4bb27200019010768,331.04,334.76,All right. And how is all that? How are you liking it?,"yeah,",1,5ee59169fbedfb2dede8cea8,332.54,332.86,-0.7099999999999795,3.7199999999999704,2,True,True,12
25,5ee59169fbedfb2dede8cea8,336.14,349.05,"not my favorite place. Um But I'm just going to school for a few years and then I'm trying to move back on back south, so. Yeah.","Yeah. All right, cool.",2,5d2f7fb4bb27200019010768,336.54,347.45,1.3799999999999955,12.910000000000025,0,False,False,29
26,5d2f7fb4bb27200019010768,349.94,352.25,And um go ahead.,Yeah.,1,5ee59169fbedfb2dede8cea8,350.44,350.64,0.8899999999999864,2.3100000000000023,0,False,False,4
27,5ee59169fbedfb2dede8cea8,352.84,353.95,"No, what were you gonna say?",,0,,,,0.589999999999975,1.1100000000000136,1,True,False,7
28,5d2f7fb4bb27200019010768,354.54,359.25,"Um what uh what brought you over there, specific college or?",,0,,,,0.5900000000000318,4.7099999999999795,1,True,False,11
