turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5d81746b784c7600198580ee,45.84,49.46,"Yeah, Okay. Hello?",,0,,,,,3.6199999999999974,1,True,False,3
1,5f55b2de5c3cb118507479f5,49.94,50.45,Hi,,0,,,,0.4799999999999969,0.5100000000000051,0,False,False,1
2,5d81746b784c7600198580ee,50.34,53.86,"Hey, So you're just getting set up here?",,0,,,,-0.10999999999999943,3.519999999999996,1,True,True,9
3,5f55b2de5c3cb118507479f5,53.64,54.56,no problem,,0,,,,-0.21999999999999886,0.9200000000000017,0,False,True,2
4,5d81746b784c7600198580ee,55.24,69.44,Mhm Mhm Oh Mhm Okay. You can see me Okay. Mhm Yeah.,yep,1,5f55b2de5c3cb118507479f5,64.94,65.26,0.6799999999999997,14.199999999999996,0,False,False,12
5,5f55b2de5c3cb118507479f5,70.14,70.35,mm.,,0,,,,0.7000000000000028,0.20999999999999375,0,False,False,1
6,5d81746b784c7600198580ee,70.24,85.66,"Uh huh Hey, uh I think so. That's better some days, technology works with me. Some days, not so much",,0,,,,-0.10999999999999943,15.420000000000002,0,False,True,21
7,5f55b2de5c3cb118507479f5,84.44,86.65,Well if my closing this helps a little,,0,,,,-1.2199999999999989,2.210000000000008,0,False,True,8
8,5d81746b784c7600198580ee,86.44,86.65,b,,0,,,,-0.21000000000000796,0.21000000000000796,0,False,True,1
9,5f55b2de5c3cb118507479f5,86.65,90.76,bit I think I'm good. Okay that'll work.,,0,,,,0.0,4.109999999999999,0,False,False,10
10,5d81746b784c7600198580ee,91.14,97.36,"okay. But yeah. Yeah. Well, so high prestige",,0,,,,0.37999999999999545,6.219999999999999,0,False,False,8
11,5f55b2de5c3cb118507479f5,97.84,98.76,I'm Andrew.,,0,,,,0.480000000000004,0.9200000000000017,0,False,False,3
12,5d81746b784c7600198580ee,99.14,103.16,and do nice to meet you. Have you done one of these before?,Mhm.,1,5f55b2de5c3cb118507479f5,100.94,101.26,0.37999999999999545,4.019999999999996,1,True,False,13
13,5f55b2de5c3cb118507479f5,103.34,103.96,No,,0,,,,0.18000000000000682,0.6199999999999903,0,False,False,1
14,5d81746b784c7600198580ee,104.64,111.26,"Oh well welcome. I've done like, I think two or three of these before. Um",mm,1,5f55b2de5c3cb118507479f5,109.84,110.26,0.6800000000000068,6.6200000000000045,0,False,False,16
15,5f55b2de5c3cb118507479f5,110.84,117.06,when it snowed up you know 17 bucks first in our work. Sounds good to me.,"Yeah,",1,5d81746b784c7600198580ee,116.14,117.36,-0.4200000000000017,6.219999999999999,0,False,True,16
16,5d81746b784c7600198580ee,117.37,122.55,"definitely. Like for talking to people, I'm going to talk to people anyway. Why not?",,0,,,,0.3100000000000023,5.179999999999993,1,True,False,16
17,5f55b2de5c3cb118507479f5,122.44,123.55,We'll talk,,0,,,,-0.10999999999999943,1.1099999999999994,0,False,True,3
18,5d81746b784c7600198580ee,124.78,130.45,Yeah. Um so where are you located in this world?,,0,,,,1.230000000000004,5.6699999999999875,1,True,False,10
19,5f55b2de5c3cb118507479f5,131.04,136.95,I don't know how specific I should get. I'm located in Illinois,"Mhm Right,",2,5d81746b784c7600198580ee,131.34,134.45,0.5900000000000034,5.909999999999997,0,False,False,14
20,5d81746b784c7600198580ee,137.44,141.75,okay. I'm in Salem Oregon. Cool.,mm.,1,5f55b2de5c3cb118507479f5,140.24,140.56,0.4900000000000091,4.310000000000002,0,False,False,7
21,5f55b2de5c3cb118507479f5,141.34,141.76,Well,,0,,,,-0.4099999999999966,0.4199999999999875,0,False,True,1
22,5d81746b784c7600198580ee,142.24,156.06,"Um I had a question the first time. I was like, I don't know, is this somebody that's in a lab talking to me or is a real person? I am a real person and the people have talked to her, real people. So atom",,0,,,,0.4800000000000182,13.819999999999993,1,False,False,47
23,5f55b2de5c3cb118507479f5,155.54,157.46,I'm well as far as I can tell.,,0,,,,-0.5200000000000102,1.920000000000016,0,False,True,9
24,5d81746b784c7600198580ee,157.44,166.66,"Yeah, exactly, exactly. Um so Illinois. What's the weather like there right now?",,0,,,,-0.020000000000010232,9.219999999999999,1,True,True,14
25,5f55b2de5c3cb118507479f5,166.84,174.14,Oh weather right now is really good. I mean it's like 70 degrees which is you know where for october or anything you know but,"Oh,",1,5d81746b784c7600198580ee,172.54,173.35,0.18000000000000682,7.299999999999983,0,False,False,26
26,5d81746b784c7600198580ee,173.94,174.26,"that's,",,0,,,,-0.19999999999998863,0.3199999999999932,0,False,True,2
27,5f55b2de5c3cb118507479f5,174.14,180.46,it's sort weather again which is not usually what it is around here but you know I'll take it,"yeah,",1,5d81746b784c7600198580ee,179.04,179.84,-0.12000000000000455,6.320000000000022,0,False,True,21
28,5d81746b784c7600198580ee,181.74,193.56,"definitely. We just had rain all morning today. I don't know if you've seen on the news, but there's just all the fires on the West Coast.",,0,,,,1.2800000000000011,11.819999999999993,0,False,False,30
29,5f55b2de5c3cb118507479f5,193.04,201.29,yeah I didn't want to press too much if we were in a bad situation or anything but you know mm hope you're doing all height of,"Mhm Yeah,",2,5d81746b784c7600198580ee,194.54,196.45,-0.5200000000000102,8.25,0,False,True,29
30,5d81746b784c7600198580ee,201.04,202.15,I am,,0,,,,-0.25,1.1100000000000136,0,False,True,2
31,5f55b2de5c3cb118507479f5,201.29,204.16,all the fires there in Oregon and Washington I think.,,0,,,,-0.8600000000000136,2.8700000000000045,0,False,True,10
32,5d81746b784c7600198580ee,204.44,225.06,"damn. Thank you. Yeah, the firefighters are doing a good job of getting that all contained so we're safe and everything. But um, there was quite a while where the smoke was so bad that I was getting nosebleeds and sure ill unhealthy for people. So I ended up actually like leaving and going to see some friends out of state for a couple of weeks. Just uh",Yeah. Yeah,2,5f55b2de5c3cb118507479f5,219.34,224.66,0.28000000000000114,20.620000000000005,0,False,False,69
33,5f55b2de5c3cb118507479f5,224.66,225.18,I don't know if,,0,,,,-0.4000000000000057,0.5200000000000102,0,False,True,5
34,5d81746b784c7600198580ee,225.07,225.2,it's,,0,,,,-0.11000000000001364,0.12999999999999545,0,False,True,2
35,5f55b2de5c3cb118507479f5,225.18,225.34,he's,,0,,,,-0.01999999999998181,0.1599999999999966,0,False,True,2
36,5d81746b784c7600198580ee,225.2,225.5,the brush,,0,,,,-0.14000000000001478,0.30000000000001137,0,False,True,2
37,5f55b2de5c3cb118507479f5,225.34,225.69,still,,0,,,,-0.1599999999999966,0.3499999999999943,0,False,True,1
38,5d81746b784c7600198580ee,225.5,225.86,in here.,,0,,,,-0.18999999999999773,0.36000000000001364,0,False,True,2
39,5f55b2de5c3cb118507479f5,225.69,228.76,I don't know if he's still there now but my cousin lives in Oregon,,0,,,,-0.17000000000001592,3.069999999999993,0,False,True,16
40,5d81746b784c7600198580ee,229.44,230.46,"Oh no, it's what part?",,0,,,,0.6800000000000068,1.0200000000000102,1,True,False,6
41,5f55b2de5c3cb118507479f5,230.54,232.06,Portland I think,,0,,,,0.07999999999998408,1.5200000000000102,0,False,False,3
42,5d81746b784c7600198580ee,232.44,233.25,Love port.,,0,,,,0.37999999999999545,0.8100000000000023,0,False,False,2
43,5f55b2de5c3cb118507479f5,232.94,279.36,I don't know if he's still is he still living there now? But you know she was at least you know in the uh recent past I think he's still living there. Yeah. Whoops. We'll be back maybe I hope at least. Mhm. Have an internet of shoes.,,0,,,,-0.3100000000000023,46.420000000000016,1,False,True,52
44,5d81746b784c7600198580ee,284.96,288.95,Thank you. Mm awesome.,Yeah. Sorry,1,5f55b2de5c3cb118507479f5,286.44,287.09,5.599999999999966,3.990000000000009,0,False,False,4
45,5f55b2de5c3cb118507479f5,287.09,292.25,if I was having issues on my end or something like I have. Yes he was with my internet sometimes.,"Right,",1,5d81746b784c7600198580ee,290.64,290.85,-1.8600000000000136,5.160000000000025,0,False,True,20
46,5d81746b784c7600198580ee,291.84,313.35,"apologize vitamin me. Okay. Uh, so yeah, today, uh, so the fires are getting contained, things are slowly getting back to normal is for the people who, you know their houses have been burned down. Mhm. It's a crazy year.",Mhm. Yeah,1,5f55b2de5c3cb118507479f5,309.94,311.34,-0.410000000000025,21.510000000000048,0,False,True,41
47,5f55b2de5c3cb118507479f5,314.74,316.26,it's been a tough one.,"Yeah,",1,5d81746b784c7600198580ee,315.94,316.35,1.3899999999999864,1.5199999999999818,0,False,False,6
48,5d81746b784c7600198580ee,317.54,323.56,it's true. So what we've been doing with your saturday today?,,0,,,,1.2800000000000296,6.019999999999982,1,True,False,13
49,5f55b2de5c3cb118507479f5,324.14,328.62,Oh um I just got back from doing some geo casting which I enjoy,,0,,,,0.5799999999999841,4.480000000000018,0,False,False,14
