turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5e3ac9d20d41ad2da023d9ae,28.44,89.95,"Yeah. Mhm, mm. Yeah. Okay. Oh mm. Oh okay. Yeah. Yeah yeah. Mhm.",Yeah,1,5db2cfc2aa1295000aa719c1,88.54,88.86,,61.510000000000005,0,False,False,13
1,5db2cfc2aa1295000aa719c1,94.64,99.34,true. Okay. Yeah.,Mhm.,1,5e3ac9d20d41ad2da023d9ae,95.44,95.76,4.689999999999998,4.700000000000003,0,False,False,3
2,5e3ac9d20d41ad2da023d9ae,99.24,100.16,I don't know.,,0,,,,-0.10000000000000853,0.9200000000000017,0,False,True,4
3,5db2cfc2aa1295000aa719c1,100.44,103.96,Hey can you hear me? Hey man how you doing?,Yeah.,1,5e3ac9d20d41ad2da023d9ae,101.44,102.54,0.28000000000000114,3.519999999999996,2,True,False,10
4,5e3ac9d20d41ad2da023d9ae,103.44,105.56,"Good, How about you?",,0,,,,-0.519999999999996,2.1200000000000045,1,True,True,4
5,5db2cfc2aa1295000aa719c1,105.24,106.43,Good thank,,0,,,,-0.3200000000000074,1.190000000000012,0,False,True,2
6,5e3ac9d20d41ad2da023d9ae,106.24,107.51,Second,,0,,,,-0.19000000000001194,1.2700000000000102,0,False,True,1
7,5db2cfc2aa1295000aa719c1,106.43,107.85,you. Sure I have,,0,,,,-1.0799999999999983,1.4199999999999875,0,False,True,4
8,5e3ac9d20d41ad2da023d9ae,107.51,113.85,"hair? Sorry, I'm trying to use my headphones and it's coming out of my speakers here",yeah. Yeah,2,5db2cfc2aa1295000aa719c1,108.24,110.04,-0.3399999999999892,6.339999999999989,1,False,True,18
9,5db2cfc2aa1295000aa719c1,113.54,117.84,I see. Yeah.,um Just,1,5e3ac9d20d41ad2da023d9ae,114.64,118.54,-0.30999999999998806,4.299999999999997,0,False,True,3
10,5e3ac9d20d41ad2da023d9ae,118.54,121.96,a second. Um,,0,,,,0.7000000000000028,3.4199999999999875,0,False,False,3
11,5db2cfc2aa1295000aa719c1,122.24,123.56,Country. Mhm.,Okay,1,5e3ac9d20d41ad2da023d9ae,122.34,122.66,0.28000000000000114,1.3200000000000074,0,False,False,2
12,5e3ac9d20d41ad2da023d9ae,123.34,125.56,"uh sorry, I'm going to set up.",,0,,,,-0.21999999999999886,2.219999999999999,0,False,True,8
13,5db2cfc2aa1295000aa719c1,125.24,127.06,What Well no problem.,,0,,,,-0.3200000000000074,1.8200000000000074,0,False,True,4
14,5e3ac9d20d41ad2da023d9ae,127.24,139.24,Yeah. Yeah. Yeah okay so Uh huh. Yeah,Oh.,1,5db2cfc2aa1295000aa719c1,134.54,134.75,0.1799999999999926,12.000000000000014,0,False,False,8
15,5db2cfc2aa1295000aa719c1,139.14,139.35,Mhm.,,0,,,,-0.10000000000002274,0.21000000000000796,0,False,True,1
16,5e3ac9d20d41ad2da023d9ae,143.14,145.05,"there yeah,",,0,,,,3.789999999999992,1.910000000000025,0,False,False,2
17,5db2cfc2aa1295000aa719c1,144.94,146.94,Perfect. Yeah,,0,,,,-0.11000000000001364,2.0,0,False,True,2
18,5e3ac9d20d41ad2da023d9ae,147.14,152.06,so I'm not entirely sure what we're supposed to be talking about,,0,,,,0.19999999999998863,4.920000000000016,0,False,False,14
19,5db2cfc2aa1295000aa719c1,151.64,153.32,I don't know man how,,0,,,,-0.4200000000000159,1.6800000000000068,0,False,True,6
20,5e3ac9d20d41ad2da023d9ae,153.14,153.86,what,,0,,,,-0.18000000000000682,0.7200000000000273,0,False,True,1
21,5db2cfc2aa1295000aa719c1,153.32,155.15,things were going for you generally?,,0,,,,-0.5400000000000205,1.8300000000000125,1,True,True,6
22,5e3ac9d20d41ad2da023d9ae,156.24,161.76,"Pretty good, I mean, you know the whole corona things been pretty crazy.",Yeah. Yeah.,2,5db2cfc2aa1295000aa719c1,158.94,160.66,1.0900000000000034,5.519999999999982,0,False,False,13
23,5db2cfc2aa1295000aa719c1,161.74,163.96,Yeah it's an unusual situation.,,0,,,,-0.01999999999998181,2.219999999999999,0,False,True,6
24,5e3ac9d20d41ad2da023d9ae,163.44,170.36,"Uh huh. Yeah, just kind of getting used to it now I guess.",,0,,,,-0.5200000000000102,6.920000000000016,0,False,True,13
25,5db2cfc2aa1295000aa719c1,170.34,179.76,"Yeah it's been, how long have you been? I know the like rules have been different in different places but how long have you been like staying at home for most of the time?",Uh huh. Oh. Mhm.,3,5e3ac9d20d41ad2da023d9ae,170.94,179.45,-0.020000000000010232,9.419999999999987,2,True,True,35
26,5e3ac9d20d41ad2da023d9ae,179.84,192.91,Well I'm still going to work actually um Yeah because I work in the transit and transportation company so um,Oh wow okay. Mhm. Okay.,3,5db2cfc2aa1295000aa719c1,182.84,192.44,0.0800000000000125,13.069999999999993,0,False,False,21
27,5db2cfc2aa1295000aa719c1,192.67,193.26,I see.,,0,,,,-0.2400000000000091,0.5900000000000034,0,False,True,2
28,5e3ac9d20d41ad2da023d9ae,192.92,210.36,"we're essential workers I guess, but uh I've been working remote sometimes as well, so it's been like I don't know, probably two months now I guess. Yeah.",Yeah. Mhm wow okay. Yeah.,3,5db2cfc2aa1295000aa719c1,195.74,209.79,-0.3400000000000034,17.440000000000026,0,False,True,32
29,5db2cfc2aa1295000aa719c1,209.8,214.46,Yeah you get used to the lifestyle after a while and now.,Yeah,1,5e3ac9d20d41ad2da023d9ae,213.74,214.54,-0.5600000000000023,4.659999999999997,0,False,True,12
30,5e3ac9d20d41ad2da023d9ae,214.55,220.54,"totally, totally. How long have a year? How long have you? Yeah.",Yeah. Um,2,5db2cfc2aa1295000aa719c1,216.04,221.0,0.09000000000000341,5.989999999999981,2,False,False,12
31,5db2cfc2aa1295000aa719c1,221.01,244.96,I think it's been like a month and a half since I started working remotely full time. Uh huh. So yeah it's crazy it's just uh I live right near a beach and I see people like standing right outside of it wanting to go like wanting to resume their normal activities surfing and what not and it's just like yeah,"Mhm. Yes. Uh huh. Yeah,",5,5e3ac9d20d41ad2da023d9ae,226.74,244.06,0.46999999999999886,23.950000000000017,0,False,False,65
32,5e3ac9d20d41ad2da023d9ae,244.07,257.84,"that's it, it's weird like get rid of, you know, when you go to the store and he's wearing like a mask and stuff, it's just like, oh, it's like that movie or Yeah. Yeah.","okay awesome. Yeah, yeah yeah. No,",5,5db2cfc2aa1295000aa719c1,245.44,257.74,-0.8900000000000148,13.769999999999982,0,False,True,40
33,5db2cfc2aa1295000aa719c1,257.75,262.56,"uh, I don't know if you've heard of or seen the movie contagion but",Yeah.,1,5e3ac9d20d41ad2da023d9ae,259.14,259.46,-0.08999999999997499,4.810000000000002,0,False,True,16
34,5e3ac9d20d41ad2da023d9ae,262.44,264.41,"River, you need to watch",,0,,,,-0.12000000000000455,1.9700000000000273,0,False,True,5
35,5db2cfc2aa1295000aa719c1,264.34,264.76,war,,0,,,,-0.07000000000005002,0.4200000000000159,0,False,True,1
36,5e3ac9d20d41ad2da023d9ae,264.41,265.26,it.,,0,,,,-0.3499999999999659,0.8499999999999659,0,False,True,1
37,5db2cfc2aa1295000aa719c1,265.24,270.75,"Well it's probably like 10 years old, but the streaming rates of it went way up",,0,,,,-0.01999999999998181,5.509999999999991,0,False,True,17
38,5e3ac9d20d41ad2da023d9ae,271.44,273.05,"Yeah, I think I heard that.",,0,,,,0.6899999999999977,1.6100000000000136,0,False,False,6
39,5db2cfc2aa1295000aa719c1,272.64,276.35,then. All sense of the outbreak started.,Yeah. Oh,2,5e3ac9d20d41ad2da023d9ae,273.06,275.25,-0.410000000000025,3.7100000000000364,0,False,True,7
40,5e3ac9d20d41ad2da023d9ae,276.84,284.45,"yeah. Yeah, totally. It's, that's weird. But you're able to work and everything like remotely 100%.",Yeah.,1,5db2cfc2aa1295000aa719c1,283.44,284.09,0.48999999999995225,7.610000000000014,0,False,False,19
41,5db2cfc2aa1295000aa719c1,284.1,285.75,So I'm are,,0,,,,-0.3499999999999659,1.6499999999999773,0,False,True,4
42,5e3ac9d20d41ad2da023d9ae,286.34,286.66,"Well,",,0,,,,0.589999999999975,0.32000000000005,0,False,False,1
43,5db2cfc2aa1295000aa719c1,286.34,306.16,"PhD researcher. I'm a PhD student. I do chemistry research in the lab and probably like 50-75% of my job. I can do remotely. Um, I'm just doing those things. I mean some projects are on hold obviously, but I'm doing what I can.",no. Nice. Mhm.,2,5e3ac9d20d41ad2da023d9ae,289.54,300.06,-0.32000000000005,19.82000000000005,0,False,True,48
44,5e3ac9d20d41ad2da023d9ae,306.94,308.76,How nice. That's awesome. Let's,"Yeah, and",1,5db2cfc2aa1295000aa719c1,307.84,308.67,0.7799999999999727,1.8199999999999932,0,False,False,7
