turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5d1aadf961a40900171f6931,84.34,116.05,Yeah. Yeah. Yeah. Okay. Mhm. Yeah. Okay. Mhm. Can you hear me? Hi.,"Mhm. Yeah, I",2,5a79de1faa46dd00016b3a60,109.64,113.95,,31.709999999999994,1,False,False,13
1,5a79de1faa46dd00016b3a60,113.95,115.95,can hear you. Hello? Right,,0,,,,-2.0999999999999943,2.0,1,False,True,5
2,5d1aadf961a40900171f6931,116.06,127.95,"So just let me check uh you started time already, so it's on the bottom of the survey. Did you open to get here?",okay. Yeah. Um timer. Oh,3,5a79de1faa46dd00016b3a60,117.44,127.44,0.10999999999999943,11.89,1,True,False,25
3,5a79de1faa46dd00016b3a60,127.44,133.66,yeah I think wait it's it's running down from one minute not going up from one minute. Yeah.,,0,,,,-0.5100000000000051,6.219999999999999,0,False,True,20
4,5d1aadf961a40900171f6931,133.24,142.85,Yeah. Okay because I have my timer at three minutes so let me know when you hit 25 Is a conscious or you have to for 25 minutes.,,0,,,,-0.4199999999999875,9.609999999999985,0,False,True,28
5,5a79de1faa46dd00016b3a60,143.64,147.66,All right. Wait all the times are off,Okay.,1,5d1aadf961a40900171f6931,144.54,144.75,0.789999999999992,4.02000000000001,0,False,False,8
6,5d1aadf961a40900171f6931,148.04,173.14,"Uh So you have to leave this, I think you have to leave the tape up and if you want to keep track of how much how long are we talking? It's like a timer so it's going up. Yeah so I have a 3 25 3 minutes 25. But because we had 25 minutes so they get compensated, So just let me know when you hit 25 minutes because I'm Matthew it's like a",Okay. Yeah. Yeah. Yeah. Yeah,5,5a79de1faa46dd00016b3a60,155.04,173.2,0.37999999999999545,25.099999999999994,1,False,False,79
7,5a79de1faa46dd00016b3a60,173.21,178.06,of course I'm,Yeah.,1,5d1aadf961a40900171f6931,174.44,174.85,0.0700000000000216,4.849999999999994,0,False,False,4
8,5d1aadf961a40900171f6931,175.54,200.73,"So how are you? Yeah. Good. Uh Oh well I'm angel are from texas. Uh Yeah, currently, well actually here on campus it and that was closed. My situation was pretty dedicated. So they let me stay along with 20 other students because some international students. So",okay.,1,5a79de1faa46dd00016b3a60,178.07,179.12,-2.5200000000000102,25.189999999999998,1,False,True,48
9,5a79de1faa46dd00016b3a60,200.68,200.84,I need,,0,,,,-0.04999999999998295,0.1599999999999966,0,False,True,2
10,5d1aadf961a40900171f6931,200.73,206.06,yeah. Uh I'm here.,,0,,,,-0.11000000000001364,5.3300000000000125,0,False,True,5
11,5a79de1faa46dd00016b3a60,205.39,205.87,your help.,,0,,,,-0.6700000000000159,0.4800000000000182,0,False,True,2
12,5d1aadf961a40900171f6931,206.74,220.45,Well we're getting ready for finals. Already got done with my final so I'm just seeing how can keep myself you see and well yeah one like those. I found this study and like let's do it. Yeah. What about you?,Yeah. Yeah.,2,5a79de1faa46dd00016b3a60,210.74,220.76,0.8700000000000045,13.70999999999998,1,True,False,44
13,5a79de1faa46dd00016b3a60,221.14,261.62,"Well I'm here in Virginia at the moment. I've didn't have a job before corona where so I'm not really suffering too much from it, aside from having some health issues. So I'm kind of just stuck not being able to see a doctor and that's that's not the best thing. But otherwise I'm all right and here at home novels going on, my family, I lived with my fiancee's family. They're not very cautious about coronavirus, so I'm not too happy about that because my immune system is not the best. What? Well",Uh Mhm.,2,5d1aadf961a40900171f6931,236.94,255.46,0.6899999999999977,40.48000000000002,1,False,False,105
14,5d1aadf961a40900171f6931,261.34,262.15,Magnificent.,,0,,,,-0.28000000000002956,0.8100000000000023,0,False,True,1
15,5a79de1faa46dd00016b3a60,261.63,263.5,can we do anything about it?,,0,,,,-0.5199999999999818,1.8700000000000045,1,True,True,6
16,5d1aadf961a40900171f6931,264.04,266.86,Yeah. Yeah when it comes here are all,Mhm.,1,5a79de1faa46dd00016b3a60,266.14,266.35,0.5400000000000205,2.819999999999993,0,False,False,8
17,5a79de1faa46dd00016b3a60,266.74,267.02,That's,,0,,,,-0.12000000000000455,0.2799999999999727,0,False,True,2
18,5d1aadf961a40900171f6931,266.86,267.31,these here in,,0,,,,-0.15999999999996817,0.44999999999998863,0,False,True,3
19,5a79de1faa46dd00016b3a60,267.3,267.66,probably,,0,,,,-0.009999999999990905,0.36000000000001364,0,False,True,1
20,5d1aadf961a40900171f6931,267.31,267.81,texas.,,0,,,,-0.35000000000002274,0.5,0,False,True,1
21,5a79de1faa46dd00016b3a60,267.66,267.9,going,,0,,,,-0.14999999999997726,0.23999999999995225,0,False,True,1
22,5d1aadf961a40900171f6931,267.82,268.22,Well,,0,,,,-0.07999999999998408,0.4000000000000341,0,False,True,1
