turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5d42407c2de85600173b5f1e,0.74,33.15,"Hey Clara. Someone's going to be talking to me on my computer and a little bit. Okay, So when they get on the computer can't interrupt me. Ok? Mhm I know you want over turning out Hello?",,0,,,,,32.41,2,True,False,39
1,5c5f7a56054ae60001d066f2,33.44,37.66,"Hello? Yes,",Yeah blooming,1,5d42407c2de85600173b5f1e,33.64,37.56,0.28999999999999915,4.219999999999999,1,False,False,2
2,5d42407c2de85600173b5f1e,38.24,38.59,"Okay,",,0,,,,0.5800000000000054,0.3500000000000014,0,False,False,1
3,5c5f7a56054ae60001d066f2,38.44,38.76,"yeah,",,0,,,,-0.15000000000000568,0.3200000000000003,0,False,True,1
4,5d42407c2de85600173b5f1e,38.59,39.95,how are you?,,0,,,,-0.1699999999999946,1.3599999999999994,1,True,True,3
5,5c5f7a56054ae60001d066f2,40.44,41.85,"I'm good, how are you?",,0,,,,0.4899999999999949,1.4100000000000037,1,True,False,6
6,5d42407c2de85600173b5f1e,42.14,50.06,I'm good. I'm gonna start our timer for 25 minutes. Okay. Yeah. Well this is strange.,"Okay,",1,5c5f7a56054ae60001d066f2,45.74,47.26,0.28999999999999915,7.920000000000002,0,False,False,19
7,5c5f7a56054ae60001d066f2,49.54,52.45,Just a bit,,0,,,,-0.5200000000000031,2.9100000000000037,0,False,True,3
8,5d42407c2de85600173b5f1e,52.44,58.56,Mhm Let me see. Hey Siri Started,,0,,,,-0.010000000000005116,6.1200000000000045,0,False,True,7
9,5c5f7a56054ae60001d066f2,57.54,58.56,thank you.,,0,,,,-1.0200000000000031,1.0200000000000031,0,False,True,2
10,5d42407c2de85600173b5f1e,58.56,65.76,time for 25 minutes. Okay. 25 minutes. You counting? Okay.,"Yeah. Yeah, Yeah,",2,5c5f7a56054ae60001d066f2,59.74,64.26,0.0,7.200000000000003,1,False,False,10
11,5c5f7a56054ae60001d066f2,64.84,65.04,"Yeah,",,0,,,,-0.9200000000000017,0.20000000000000284,0,False,True,1
12,5d42407c2de85600173b5f1e,66.14,69.16,So I've never done a chat on here before.,,0,,,,1.0999999999999943,3.019999999999996,0,False,False,10
13,5c5f7a56054ae60001d066f2,69.74,71.26,meaning there.,"Yeah,",1,5d42407c2de85600173b5f1e,69.84,70.04,0.5799999999999983,1.5200000000000102,0,False,False,2
14,5d42407c2de85600173b5f1e,70.94,77.76,"but it's a good paying here, huh? Where are you?","Mm hmm. Yeah,",3,5c5f7a56054ae60001d066f2,71.64,75.05,-0.3200000000000074,6.820000000000007,2,True,True,11
15,5c5f7a56054ae60001d066f2,76.84,78.76,"texas,",,0,,,,-0.9200000000000017,1.9200000000000017,0,False,True,1
16,5d42407c2de85600173b5f1e,79.04,91.26,"Okay, So am I? Okay, That makes sense. I guess they put the time zones together. Okay, I'm in Tyler texas. Where about are you",mm Mhm Uh huh. Yeah,3,5c5f7a56054ae60001d066f2,80.54,89.64,0.28000000000000114,12.219999999999999,1,False,False,26
17,5c5f7a56054ae60001d066f2,91.14,94.76,Dallas mhm,okay?,1,5d42407c2de85600173b5f1e,93.04,94.25,-0.12000000000000455,3.6200000000000045,0,False,True,2
18,5d42407c2de85600173b5f1e,94.26,95.89,Cool. Then,,0,,,,-0.5,1.6299999999999955,0,False,True,2
19,5c5f7a56054ae60001d066f2,95.54,95.75,Mhm,,0,,,,-0.3499999999999943,0.20999999999999375,0,False,True,1
20,5d42407c2de85600173b5f1e,95.89,103.25,you're used to this crazy weather that we're having. Is it right in there today?,Yeah. Mhm,2,5c5f7a56054ae60001d066f2,97.24,100.15,0.14000000000000057,7.359999999999999,1,True,False,17
21,5c5f7a56054ae60001d066f2,103.04,104.81,"Yeah, it looks",,0,,,,-0.20999999999999375,1.769999999999996,0,False,True,3
22,5d42407c2de85600173b5f1e,104.74,105.16,No?,,0,,,,-0.07000000000000739,0.4200000000000017,1,True,True,1
23,5c5f7a56054ae60001d066f2,104.81,106.55,like it's coming down pretty hard.,,0,,,,-0.3499999999999943,1.7399999999999949,0,False,True,7
24,5d42407c2de85600173b5f1e,107.04,116.8,"Yeah, it's starting here too. It's supposed to rain all day. So cool. So",Mhm Mhm,1,5c5f7a56054ae60001d066f2,110.44,112.45,0.4900000000000091,9.759999999999991,0,False,False,16
25,5c5f7a56054ae60001d066f2,115.04,115.66,Yeah.,,0,,,,-1.759999999999991,0.6199999999999903,0,False,True,1
26,5d42407c2de85600173b5f1e,116.81,120.34,you can talk about whatever you want. Uh huh.,Yeah. Mhm,1,5c5f7a56054ae60001d066f2,118.74,119.96,1.1500000000000057,3.530000000000001,0,False,False,9
27,5c5f7a56054ae60001d066f2,120.54,124.05,Nothing has pretty much come to mind to be honest.,,0,,,,0.20000000000000284,3.509999999999991,0,False,False,10
28,5d42407c2de85600173b5f1e,124.44,141.26,You really don't have a texas accent like I do. My mom is bad. I have a thick southern drawl. So are you in an office building? Are you home?,Oh uh mm,3,5c5f7a56054ae60001d066f2,127.44,136.15,0.39000000000000057,16.819999999999993,2,True,False,31
29,5c5f7a56054ae60001d066f2,141.54,144.46,I'm at work. Mhm.,Yeah. Oh gosh.,2,5d42407c2de85600173b5f1e,141.64,144.28,0.28000000000000114,2.920000000000016,0,False,False,5
