turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5eebff91bd2957196e75d9c7,5.14,37.64,"mm. Yeah. Yeah. All right. Yeah, Yeah.",,0,,,,,32.5,0,False,False,7
1,5d98077e74f4a002ea9a8c40,38.64,39.75,"Hi, how are you know?",,0,,,,1.0,1.1099999999999994,1,True,False,5
2,5eebff91bd2957196e75d9c7,41.24,42.76,Hello?,,0,,,,1.490000000000002,1.519999999999996,1,True,False,1
3,5d98077e74f4a002ea9a8c40,42.54,44.46,"Yeah, can you hear me",,0,,,,-0.21999999999999886,1.9200000000000017,0,False,True,5
4,5eebff91bd2957196e75d9c7,44.44,45.25,"Yeah, I can hear you.",okay?,1,5d98077e74f4a002ea9a8c40,44.84,46.44,-0.020000000000003126,0.8100000000000023,0,False,True,5
5,5d98077e74f4a002ea9a8c40,46.45,52.64,"Let me grab my headphones. Yeah,",All right. Yeah.,1,5eebff91bd2957196e75d9c7,47.94,51.56,1.2000000000000028,6.189999999999998,0,False,False,6
6,5eebff91bd2957196e75d9c7,55.94,56.86,Mm hmm.,,0,,,,3.299999999999997,0.9200000000000017,0,False,False,2
7,5d98077e74f4a002ea9a8c40,57.34,61.16,yeah. How are you today?,,0,,,,0.480000000000004,3.819999999999993,1,True,False,5
8,5eebff91bd2957196e75d9c7,61.34,62.26,I'm doing fine.,,0,,,,0.18000000000000682,0.9199999999999946,0,False,False,4
9,5d98077e74f4a002ea9a8c40,64.74,73.86,"I was just listening to some music just trying to I don't know, it's just, I feel like it's a stressful time now for everybody. Have you ever done one of these before?",Yeah.,1,5eebff91bd2957196e75d9c7,70.84,71.64,2.479999999999997,9.120000000000005,1,True,False,36
10,5eebff91bd2957196e75d9c7,74.04,76.26,"Yeah, I've done these like two sons already.",,0,,,,0.18000000000000682,2.219999999999999,0,False,False,9
11,5d98077e74f4a002ea9a8c40,76.94,86.76,"I didn't, this would be my fourth one. I've been doing them like once a week. They're actually really fun. Have you ever had one that went terribly wrong?",Yeah. Mhm.,1,5eebff91bd2957196e75d9c7,82.04,83.95,0.6799999999999926,9.820000000000007,1,True,False,32
12,5eebff91bd2957196e75d9c7,87.14,92.54,"Um, I mean, there was one time someone didn't show up. That's it. Like",,0,,,,0.37999999999999545,5.400000000000006,0,False,False,16
13,5d98077e74f4a002ea9a8c40,92.44,92.79,That's,,0,,,,-0.10000000000000853,0.3500000000000085,0,False,True,2
14,5eebff91bd2957196e75d9c7,92.54,92.96,nothing.,,0,,,,-0.25,0.4199999999999875,0,False,True,1
15,5d98077e74f4a002ea9a8c40,92.79,104.96,"not, That's not bad at. It. Just sucks because they only give you what, like a dollar 25 for your waiting. How long have you been doing that Profilic for?",Yeah. Yeah. Yeah.,3,5eebff91bd2957196e75d9c7,93.74,100.76,-0.1699999999999875,12.169999999999987,1,True,True,31
16,5eebff91bd2957196e75d9c7,105.34,108.84,"Um, probably like three months now. Yeah.",Oh my,1,5d98077e74f4a002ea9a8c40,108.44,108.73,0.38000000000000966,3.5,0,False,False,7
17,5d98077e74f4a002ea9a8c40,108.73,131.96,"goodness, I uh just started getting into it. Um I want to say like last year, But I didn't take it as seriously, but now I'm starting to take it more seriously. I've already made like $250 over the past three months, or not three months over the past six months since I've been taking it seriously? Where are you from?",Mm. Uh huh. Mhm. Mhm. Yeah. Yeah. Yeah.,6,5eebff91bd2957196e75d9c7,109.64,131.46,-0.10999999999999943,23.230000000000004,2,True,True,66
18,5eebff91bd2957196e75d9c7,132.24,133.86,I'm from Houston texas.,,0,,,,0.28000000000000114,1.6200000000000045,0,False,False,5
19,5d98077e74f4a002ea9a8c40,134.34,142.05,"Oh, I heard texas got hit really hard. I'm in a Pittsburgh pennsylvania.",Mhm. Yeah. Yeah.,3,5eebff91bd2957196e75d9c7,135.74,140.24,0.47999999999998977,7.710000000000008,0,False,False,14
20,5eebff91bd2957196e75d9c7,142.34,148.85,That's cool.,,0,,,,0.28999999999999204,6.509999999999991,0,False,False,3
21,5d98077e74f4a002ea9a8c40,148.94,167.88,"Uh Not really. I feel like Pittsburgh is a Karen just because All right, like the people that like Pittsburgh, I feel like they like Pittsburgh because they've never lived anywhere else, but it's like a Karen to me, like,",Mhm. Mhm. Okay. Yeah. Okay. Yeah. Probably.,5,5eebff91bd2957196e75d9c7,150.64,166.46,0.09000000000000341,18.939999999999998,0,False,False,42
22,5eebff91bd2957196e75d9c7,167.84,169.45,I,,0,,,,-0.03999999999999204,1.6099999999999852,0,False,True,1
23,5d98077e74f4a002ea9a8c40,167.88,169.06,"I hate it. Here,",,0,,,,-1.5699999999999932,1.1800000000000068,0,False,True,4
24,5eebff91bd2957196e75d9c7,169.46,172.36,"like this thing, so it's fine here.",,0,,,,0.4000000000000057,2.9000000000000057,0,False,False,8
25,5d98077e74f4a002ea9a8c40,172.04,173.26,what's there to do there?,Yeah.,1,5eebff91bd2957196e75d9c7,172.74,172.94,-0.3200000000000216,1.2199999999999989,1,True,True,6
