turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5f18ff404f90fe1473c2e3b6,22.44,29.84,"Right. Hello? Right, trying to adjust my volume here. Yeah,",Mhm. Yeah. Scott.,2,5ea91e89257581388e79adc6,26.24,29.93,,7.399999999999999,1,False,False,10
1,5ea91e89257581388e79adc6,29.94,34.83,"I'm adjusting mind as well. Hi,",,0,,,,0.10000000000000142,4.889999999999997,0,False,False,7
2,5f18ff404f90fe1473c2e3b6,33.84,34.35,replace,,0,,,,-0.9899999999999949,0.509999999999998,0,False,True,1
3,5ea91e89257581388e79adc6,34.83,37.66,my name is Ian Uh,um,1,5f18ff404f90fe1473c2e3b6,35.54,37.06,0.4799999999999969,2.8299999999999983,0,False,False,5
4,5f18ff404f90fe1473c2e3b6,37.07,39.35,christa have you done this before?,huh.,1,5ea91e89257581388e79adc6,37.96,38.04,-0.5899999999999963,2.280000000000001,1,True,True,6
5,5ea91e89257581388e79adc6,40.04,50.55,"I have um Yeah, they did this, I don't know, probably about a month ago and I think I did three or four of them,",Okay.,1,5f18ff404f90fe1473c2e3b6,41.44,41.76,0.6899999999999977,10.509999999999998,0,False,False,26
6,5f18ff404f90fe1473c2e3b6,51.34,53.11,I did,,0,,,,0.7900000000000063,1.769999999999996,0,False,False,2
7,5ea91e89257581388e79adc6,52.24,52.45,hey.,,0,,,,-0.8699999999999974,0.21000000000000085,0,False,True,1
8,5f18ff404f90fe1473c2e3b6,53.12,60.55,"two of them. I was about right, I was about to sign up for a third when they closed everything out for that round and said","Yeah, yeah, yeah. Right,",4,5ea91e89257581388e79adc6,53.74,58.55,0.6699999999999946,7.43,0,False,False,26
9,5ea91e89257581388e79adc6,60.04,76.55,"So I had three of them in a row that like the the other person didn't show up. No. Yeah, and I was kind of, I don't know, I","yeah, oh gosh,",2,5f18ff404f90fe1473c2e3b6,66.05,72.65,-0.509999999999998,16.509999999999998,0,False,True,31
10,5f18ff404f90fe1473c2e3b6,75.74,76.04,very,,0,,,,-0.8100000000000023,0.30000000000001137,0,False,True,1
11,5ea91e89257581388e79adc6,76.56,76.73,was,,0,,,,0.519999999999996,0.1700000000000017,0,False,False,1
12,5f18ff404f90fe1473c2e3b6,76.61,76.96,quickly.,,0,,,,-0.12000000000000455,0.3499999999999943,0,False,True,1
13,5ea91e89257581388e79adc6,76.73,97.37,"kind of just like, okay, I'm done with this. I got sick of like planning around having the conversation, just have the person not show up. So I I didn't sign up for any more and they emailed me about this and I was like, you know, I'll give it another","Mhm Yeah,",2,5f18ff404f90fe1473c2e3b6,80.44,96.25,-0.22999999999998977,20.64,0,False,True,54
