turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5d625b4550d0dd0017805839,135.64,137.56,Hello?,,0,,,,,1.920000000000016,1,True,False,1
1,5d49a0b751695e0001a188a8,137.14,138.66,"Hi, how are you,",,0,,,,-0.4200000000000159,1.5200000000000102,0,False,True,4
2,5d625b4550d0dd0017805839,138.74,140.96,"Oh, let me get my headphones one minute.",,0,,,,0.0800000000000125,2.219999999999999,0,False,False,8
3,5d49a0b751695e0001a188a8,141.04,141.76,***,,0,,,,0.07999999999998408,0.7199999999999989,0,False,False,0
4,5d625b4550d0dd0017805839,141.84,150.34,"Yeah, wherever they are. Okay. Yeah.",,0,,,,0.0800000000000125,8.5,0,False,False,6
5,5d49a0b751695e0001a188a8,150.34,150.66,and,,0,,,,0.0,0.3199999999999932,0,False,False,1
6,5d625b4550d0dd0017805839,151.14,152.55,"Okay, can you hear me now?",,0,,,,0.47999999999998977,1.410000000000025,1,True,False,6
7,5d49a0b751695e0001a188a8,152.84,154.66,I can. Hi.,,0,,,,0.28999999999999204,1.8199999999999932,0,False,False,3
8,5d625b4550d0dd0017805839,153.94,156.76,"Okay, good. Hi, how are you doing?",,0,,,,-0.7199999999999989,2.819999999999993,1,True,True,7
9,5d49a0b751695e0001a188a8,158.14,160.39,"Good, good, good. I'm just gonna set a timer",Mhm,1,5d625b4550d0dd0017805839,158.84,159.16,1.3799999999999955,2.25,0,False,False,11
10,5d625b4550d0dd0017805839,160.14,160.35,"No,",,0,,,,-0.25,0.21000000000000796,0,False,True,1
11,5d49a0b751695e0001a188a8,160.39,161.05,for us.,,0,,,,0.03999999999999204,0.660000000000025,0,False,False,2
12,5d625b4550d0dd0017805839,161.34,169.48,"Okay, good. Because I'm always like, always end up looking at the clock and being like, how long was it?",,0,,,,0.28999999999999204,8.139999999999986,1,True,False,21
13,5d49a0b751695e0001a188a8,167.14,169.56,Well that's okay. I spent a timer for us.,,0,,,,-2.3400000000000034,2.420000000000016,0,False,True,10
14,5d625b4550d0dd0017805839,169.49,184.95,"Perfect, Okay. Something was stuck into my computer, but I got it okay. I was like, this is my third time trying this time and no, and so I'm glad this showed up because nobody showed up the first two times. I,",,0,,,,-0.06999999999999318,15.45999999999998,0,False,True,43
15,5d49a0b751695e0001a188a8,184.64,191.26,"Me too. Same thing happened to me. I did another time, but I nobody showed up like the past three times.","Yeah,",1,5d625b4550d0dd0017805839,187.74,191.97,-0.3100000000000023,6.6200000000000045,0,False,True,21
16,5d625b4550d0dd0017805839,191.97,200.54,"I was like sad and I waited last time for like 10 minutes and then I was like, well I guess they're not coming okay, and that's my best one stuff. Yeah.",Uh,1,5d49a0b751695e0001a188a8,199.84,200.66,0.710000000000008,8.569999999999993,0,False,False,34
17,5d49a0b751695e0001a188a8,200.67,201.85,So where do you live?,"Yeah,",1,5d625b4550d0dd0017805839,200.94,201.65,0.12999999999999545,1.1800000000000068,1,True,False,5
18,5d625b4550d0dd0017805839,202.34,206.45,I live in san Antonio texas.,,0,,,,0.4900000000000091,4.109999999999985,0,False,False,6
19,5d49a0b751695e0001a188a8,203.74,206.65,"Well? Oh, you do? Okay. I'm from New Jersey.",,0,,,,-2.7099999999999795,2.9099999999999966,2,False,True,10
20,5d625b4550d0dd0017805839,207.14,210.26,"Okay. Oh wow, that's way different.",,0,,,,0.4899999999999807,3.1200000000000045,0,False,False,7
