turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ba2d949821f7600011d1ccc,0.44,56.74,"if Good morning? Really? Yeah. Okay. Oh, uh Okay. Yeah. Hey, do you need anything? You know, I just realized that this is damp on the bottom. Would you just bring it downstairs? Okay, let me put this down. Okay, I'm gonna be downstairs for my little meeting thing too. Um If you just want to like senate on top, Yeah.",,0,,,,,56.300000000000004,4,False,False,63
1,56df9a836b4093000bd896c7,56.74,57.46,Hello?,,0,,,,0.0,0.7199999999999989,1,True,False,1
2,5ba2d949821f7600011d1ccc,57.74,58.85,"Hello, how are you",,0,,,,0.28000000000000114,1.1099999999999994,0,False,False,4
3,56df9a836b4093000bd896c7,58.94,75.06,"I'm good, how are you doing? Good. This is why fourth time coming and I got stood up three times three times. I'm like is this works is going to be here today? Uh","doing? Okay. Right. Uh huh. Mhm. Yeah,",5,5ba2d949821f7600011d1ccc,60.64,74.35,0.0899999999999963,16.120000000000005,2,False,False,36
4,5ba2d949821f7600011d1ccc,74.84,78.79,"This is my 3rd eye, luckily I haven't been stood up yet. Sorry, I'm",huh. Oh,2,56df9a836b4093000bd896c7,75.06,78.67,-0.21999999999999886,3.950000000000003,0,False,True,16
5,56df9a836b4093000bd896c7,78.67,79.46,that,,0,,,,-0.12000000000000455,0.789999999999992,0,False,True,1
6,5ba2d949821f7600011d1ccc,78.8,84.26,entering my basement here for a second. Uh How are you,"okay,",1,56df9a836b4093000bd896c7,81.04,82.15,-0.6599999999999966,5.460000000000008,0,False,True,11
7,56df9a836b4093000bd896c7,84.54,86.16,pretty good. How are you?,,0,,,,0.28000000000000114,1.6199999999999903,1,True,False,5
8,5ba2d949821f7600011d1ccc,87.24,90.26,"doing? Just, just fine. Where are you from?",Okay.,1,56df9a836b4093000bd896c7,89.44,90.16,1.0799999999999983,3.0200000000000102,2,True,False,8
9,56df9a836b4093000bd896c7,90.94,93.36,Um I live in Minnesota right now.,,0,,,,0.6799999999999926,2.4200000000000017,0,False,False,7
